Lon	Lat	x	y	BigCellTypeID
30	-35	32.5	-37.5	2
55	-35	57.5	-37.5	2
85	-25	87.5	-27.5	2
45	-40	47.5	-42.5	2
50	-40	52.5	-42.5	2
55	-40	57.5	-42.5	2
60	-40	62.5	-42.5	2
60	-35	62.5	-37.5	2
65	-35	67.5	-37.5	2
80	-5	82.5	-7.5	2
-155	-25	-152.5	-27.5	2
50	-10	52.5	-12.5	2
130	-5	132.5	-7.5	2
20	-40	22.5	-42.5	2
-45	-25	-42.5	-27.5	2
130	-30	132.5	-32.5	2
75	-5	77.5	-7.5	2
95	0	97.5	-2.5	2
100	0	102.5	-2.5	2
115	-20	117.5	-22.5	2
65	-10	67.5	-12.5	2
85	-10	87.5	-12.5	2
10	-25	12.5	-27.5	2
-50	-35	-47.5	-37.5	2
70	-45	72.5	-47.5	2
75	-45	77.5	-47.5	2
80	-45	82.5	-47.5	2
125	-35	127.5	-37.5	2
130	-35	132.5	-37.5	2
145	-55	147.5	-57.5	2
175	-50	177.5	-52.5	2
-55	-35	-52.5	-37.5	2
0	-25	2.5	-27.5	2
5	-30	7.5	-32.5	2
10	-20	12.5	-22.5	2
35	-40	37.5	-42.5	2
30	-40	32.5	-42.5	2
40	-40	42.5	-42.5	2
60	-30	62.5	-32.5	2
150	-15	152.5	-17.5	2
-10	-25	-7.5	-27.5	2
-5	-30	-2.5	-32.5	2
25	-40	27.5	-42.5	2
-150	-25	-147.5	-27.5	2
-100	-30	-97.5	-32.5	2
15	-40	17.5	-42.5	2
-95	-30	-92.5	-32.5	2
-85	-30	-82.5	-32.5	2
-50	-30	-47.5	-32.5	2
-45	-20	-42.5	-22.5	2
-40	-25	-37.5	-27.5	2
65	-45	67.5	-47.5	2
110	-45	112.5	-47.5	2
140	-35	142.5	-37.5	2
-100	-40	-97.5	-42.5	2
-85	-35	-82.5	-37.5	2
-50	-25	-47.5	-27.5	2
-30	-15	-27.5	-17.5	2
35	-45	37.5	-47.5	2
-130	-15	-127.5	-17.5	2
-125	-20	-122.5	-22.5	2
-120	-20	-117.5	-22.5	2
-90	-35	-87.5	-37.5	2
-40	-20	-37.5	-22.5	2
-180	-50	-177.5	-52.5	2
-170	-45	-167.5	-47.5	2
-165	-50	-162.5	-52.5	2
0	-40	2.5	-42.5	2
-10	-40	-7.5	-42.5	2
-5	-40	-2.5	-42.5	2
15	-45	17.5	-47.5	2
55	-45	57.5	-47.5	2
60	-45	62.5	-47.5	2
-15	-40	-12.5	-42.5	2
10	-40	12.5	-42.5	2
10	-15	12.5	-17.5	2
-175	-40	-172.5	-42.5	2
165	-40	167.5	-42.5	2
-15	-45	-12.5	-47.5	2
45	-35	47.5	-37.5	2
50	-35	52.5	-37.5	2
-20	-40	-17.5	-42.5	2
-15	-35	-12.5	-37.5	2
0	-35	2.5	-37.5	2
160	-40	162.5	-42.5	2
-55	-30	-52.5	-32.5	2
-50	-40	-47.5	-42.5	2
-45	-40	-42.5	-42.5	2
-40	-40	-37.5	-42.5	2
-85	-25	-82.5	-27.5	2
-40	-35	-37.5	-37.5	2
-95	-25	-92.5	-27.5	2
-90	-25	-87.5	-27.5	2
-45	-35	-42.5	-37.5	2
-55	-45	-52.5	-47.5	2
10	-35	12.5	-37.5	2
-30	-40	-27.5	-42.5	2
-25	-40	-22.5	-42.5	2
-10	-35	-7.5	-37.5	2
5	-40	7.5	-42.5	2
-30	-45	-27.5	-47.5	2
10	-45	12.5	-47.5	2
160	-50	162.5	-52.5	2
165	-50	167.5	-52.5	2
170	-50	172.5	-52.5	2
-60	-40	-57.5	-42.5	2
-60	-35	-57.5	-37.5	2
20	-45	22.5	-47.5	2
25	-45	27.5	-47.5	2
-175	-50	-172.5	-52.5	2
30	-45	32.5	-47.5	2
-5	-45	-2.5	-47.5	2
-35	-35	-32.5	-37.5	2
40	-25	42.5	-27.5	2
-140	-25	-137.5	-27.5	2
-105	-25	-102.5	-27.5	2
-10	-45	-7.5	-47.5	2
-90	-30	-87.5	-32.5	2
