Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,FRZ,PBF,SKJ,TUN,YFT
1959,USA,23.5,-109.5,0,0,0,0,0,0,0,0,210.4
1959,USA,25.5,-113.5,0,0,0,0,0,0.9,0,0,0
1959,USA,25.5,-112.5,0,0,0,0,0,0,0,0,0
1959,USA,32.5,-118.5,0,0,0,0,0,6.4,0,0,0
1959,MEX,25.5,-119.5,0,0,0,0,0,0,45.4,0,0
1959,MEX,25.5,-118.5,0,0,0,0,0,0,36.3,0,0
1959,USA,-3.5,-83.5,0,0,0,0,0,0,0,0,0
1959,USA,-3.5,-80.5,0,0,0,0,0,0,40.8,0,90.7
1959,USA,-2.5,-80.5,0,0,0,0,0,0,167.8,0,0
1959,USA,-3.5,-83.5,0,0,0,0,0,0,172.3,0,0
1959,USA,-3.5,-81.5,0,0,0,0,0,0,54.4,0,39.9
1959,USA,-3.5,-80.5,0,0,0,0,0,0,526.2,0,0
1959,USA,-2.5,-80.5,0,0,0,0,0,0,40.8,0,0
1959,USA,23.5,-111.5,0,0,0,0,0,0,0,0,99.8
1959,USA,25.5,-113.5,0,0,0,0,0,0,826.28,0,300.71
1959,USA,25.5,-112.5,0,0,0,0,0,0,3.6,0,16.4
1959,USA,26.5,-114.5,0,0,0,0,0,98.9,1026.8,0,182.9
1959,USA,26.5,-113.5,0,0,0,0,0,0,24.5,0,32.7
1959,USA,27.5,-115.5,0,0,0,0,0,86.2,392.39,0,239.9
1959,USA,27.5,-114.5,0,0,0,0,0,116.2,1261.96,0,284.74
1959,USA,28.5,-115.5,0,0,0,0,0,4.5,13.6,0,0
1959,USA,29.5,-116.5,0,0,0,0,0,36.3,0,0,0
1959,USA,30.5,-116.5,0,0,0,0,0,13.6,0,0,0
1959,USA,31.5,-117.5,0,0,0,0,0,0,0,0,0
1959,USA,31.5,-116.5,0,0,0,0,0,0,22.7,0,0
1959,USA,32.5,-118.5,0,0,0,0,0,495.1,0,0,0
1959,USA,32.5,-117.5,0,0,0,0,0,280.4,0,0,0
1959,USA,33.5,-118.5,0,0,0,42.6,0,83.5,0,0,0
1959,USA,33.5,-117.5,0,0,0,0,0,147.1,0,0,0
1959,USA,-4.5,-81.5,0,0,0,0,0,0,0,0,203.2
1959,USA,-3.5,-81.5,0,0,0,0,0,0,188.02,0,131.27
1959,USA,-3.5,-80.5,0,0,0,0,0,0,394.8,0,9.1
1959,USA,6.5,-81.5,0,0,0,0,0,0,0,0,9
1959,USA,6.5,-80.5,0,0,0,0,0,0,0,0,20
1959,USA,9.5,-85.5,0,0,0,0,0,0,0,0,27.2
1959,USA,13.5,-90.5,0,0,0,0,0,0,0,0,18.1
1959,USA,14.5,-93.5,0,0,0,0,0,0,9.1,0,7.3
1959,USA,21.5,-106.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-108.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-107.5,0,0,0,0,0,0,0,0,0
1959,USA,24.5,-112.5,0,0,0,0,0,0,0,0,0
1959,USA,25.5,-113.5,0,0,0,0,0,0,655.03,0,160.16
1959,USA,25.5,-112.5,0,0,0,0,0,0,41.7,0,179.5
1959,USA,26.5,-114.5,0,0,0,0,0,0,91.5,0,0.9
1959,USA,26.5,-113.5,0,0,0,0,0,0,12.7,0,0
1959,USA,27.5,-115.5,0,0,0,0,0,0,459.5,0,281.2
