Year,Flag,Lat,Lon,BSH,CCL,FAL,MAK,OCS,RSK,SKH,SMA,SPN,THR
1979,TWN,-27.5,-147.5,0,0,0,0,0,0,0.11,0,0,0
1979,TWN,-27.5,-142.5,0,0,0,0,0,0,0.23,0,0,0
1979,TWN,-27.5,-137.5,0,0,0,0,0,0,0.34,0,0,0
1979,KOR,-27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-27.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-112.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,12.5,-87.5,0,0,0,0,0,0,0,0,0,0
1979,TWN,-27.5,-142.5,0,0,0,0,0,0,0.46,0,0,0
1979,TWN,-27.5,-137.5,0,0,0,0,0,0,0.34,0,0,0
1979,TWN,-22.5,-132.5,0,0,0,0,0,0,0.11,0,0,0
1979,TWN,-22.5,-127.5,0,0,0,0,0,0,0.23,0,0,0
1979,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,12.5,-92.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,12.5,-87.5,0,0,0,0,0,0,0,0,0,0
1979,TWN,-22.5,-127.5,0,0,0,0,0,0,0.46,0,0,0
1979,TWN,-17.5,-127.5,0,0,0,0,0,0,0.11,0,0,0
1979,TWN,-17.5,-122.5,0,0,0,0,0,0,0.58,0,0,0
1979,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,TWN,-22.5,-112.5,0,0,0,0,0,0,5.09,0,0,0
1979,TWN,-17.5,-122.5,0,0,0,0,0,0,0.93,0,0,0
1979,TWN,-17.5,-117.5,0,0,0,0,0,0,1.04,0,0,0
1979,TWN,-17.5,-112.5,0,0,0,0,0,0,1.59,0,0,0
1979,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-22.5,-117.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-117.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-112.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,7.5,-82.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,7.5,-77.5,0,0,0,0,0,0,0,0,0,0
1979,TWN,-22.5,-112.5,0,0,0,0,0,0,1.61,0,0,0
1979,TWN,-17.5,-117.5,0,0,0,0,0,0,0.11,0,0,0
1980,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-117.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-117.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-87.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-82.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-87.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,12.5,-92.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-97.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-87.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-82.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-87.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,12.5,-92.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,27.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,17.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,17.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-37.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-37.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-37.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-32.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,7.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,12.5,-92.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,17.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-37.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-37.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-37.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-37.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-32.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-32.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,32.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-32.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,TWN,-32.5,-147.5,0,0,0,0,0,0,0.62,0,0,0
1980,TWN,-32.5,-142.5,0,0,0,0,0,0,0.15,0,0,0
1980,KOR,-32.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-147.5,0,0,0,0,0,0,0,0,0,0
