BigCellID,BigCellTypeID,x,y,Pacific
252,1,-178.5,18.5,1
253,1,-178.5,17.5,1
254,1,-178.5,16.5,1
255,1,-178.5,15.5,1
256,1,-178.5,14.5,1
257,1,-178.5,13.5,1
258,1,-178.5,12.5,1
259,1,-178.5,11.5,1
260,1,-178.5,10.5,1
261,1,-178.5,9.5,1
262,1,-178.5,8.5,1
263,1,-178.5,7.5,1
264,1,-178.5,6.5,1
265,1,-178.5,5.5,1
266,1,-178.5,4.5,1
267,1,-178.5,3.5,1
268,1,-178.5,2.5,1
269,1,-178.5,1.5,1
270,1,-178.5,0.5,1
271,1,-178.5,-0.5,1
272,1,-178.5,-1.5,1
273,1,-178.5,-2.5,1
274,1,-178.5,-3.5,1
275,1,-178.5,-4.5,1
276,1,-178.5,-5.5,1
277,1,-178.5,-6.5,1
278,1,-178.5,-7.5,1
279,1,-178.5,-8.5,1
280,1,-178.5,-9.5,1
281,1,-178.5,-10.5,1
282,1,-178.5,-11.5,1
283,1,-178.5,-12.5,1
284,1,-178.5,-13.5,1
285,1,-178.5,-14.5,1
286,1,-178.5,-15.5,1
287,1,-178.5,-16.5,1
288,1,-178.5,-17.5,1
289,1,-178.5,-18.5,1
290,1,-178.5,-19.5,1
291,1,-178.5,-20.5,1
292,1,-178.5,-21.5,1
293,1,-178.5,-22.5,1
294,1,-178.5,-23.5,1
295,1,-178.5,-24.5,1
296,1,-178.5,-25.5,1
297,1,-178.5,-26.5,1
298,1,-178.5,-27.5,1
299,1,-178.5,-28.5,1
300,1,-178.5,-29.5,1
301,1,-178.5,-30.5,1
302,1,-178.5,-31.5,1
303,1,-178.5,-32.5,1
304,1,-178.5,-33.5,1
305,1,-178.5,-34.5,1
306,1,-178.5,-35.5,1
307,1,-178.5,-36.5,1
308,1,-178.5,-37.5,1
309,1,-178.5,-38.5,1
310,1,-178.5,-39.5,1
311,1,-178.5,-40.5,1
312,1,-178.5,-41.5,1
313,1,-178.5,-42.5,1
314,1,-178.5,-43.5,1
315,1,-178.5,-44.5,1
316,1,-178.5,-45.5,1
317,1,-178.5,-46.5,1
318,1,-178.5,-47.5,1
319,1,-178.5,-48.5,1
320,1,-178.5,-49.5,1
321,1,-178.5,-50.5,1
322,1,-178.5,-51.5,1
323,1,-178.5,-52.5,1
324,1,-178.5,-53.5,1
325,1,-178.5,-54.5,1
326,1,-178.5,-55.5,1
327,1,-178.5,-56.5,1
328,1,-178.5,-57.5,1
329,1,-178.5,-58.5,1
330,1,-178.5,-59.5,1
331,1,-178.5,-60.5,1
332,1,-178.5,-61.5,1
333,1,-178.5,-62.5,1
334,1,-178.5,-63.5,1
335,1,-178.5,-64.5,1
336,1,-178.5,-65.5,1
337,1,-178.5,-66.5,1
338,1,-178.5,-67.5,1
339,1,-178.5,-68.5,1
340,1,-178.5,-69.5,1
341,1,-178.5,-70.5,1
342,1,-178.5,-71.5,1
343,1,-178.5,-72.5,1
344,1,-178.5,-73.5,1
345,1,-178.5,-74.5,1
346,1,-178.5,-75.5,1
347,1,-178.5,-76.5,1
348,1,-178.5,-77.5,1
349,1,-178.5,-78.5,1
350,1,-178.5,-79.5,1
351,1,-178.5,-80.5,1
352,1,-178.5,-81.5,1
353,1,-178.5,-82.5,1
354,1,-178.5,-83.5,1
355,1,-178.5,-84.5,1
380,1,-177.5,70.5,0
381,1,-177.5,69.5,0
382,1,-177.5,68.5,0
385,1,-177.5,65.5,1
386,1,-177.5,64.5,1
387,1,-177.5,63.5,1
388,1,-177.5,62.5,1
389,1,-177.5,61.5,1
390,1,-177.5,60.5,1
391,1,-177.5,59.5,1
392,1,-177.5,58.5,1
393,1,-177.5,57.5,1
394,1,-177.5,56.5,1
395,1,-177.5,55.5,1
396,1,-177.5,54.5,1
397,1,-177.5,53.5,1
398,1,-177.5,52.5,1
399,1,-177.5,51.5,1
400,1,-177.5,50.5,1
401,1,-177.5,49.5,1
402,1,-177.5,48.5,1
403,1,-177.5,47.5,1
404,1,-177.5,46.5,1
405,1,-177.5,45.5,1
406,1,-177.5,44.5,1
407,1,-177.5,43.5,1
408,1,-177.5,42.5,1
409,1,-177.5,41.5,1
410,1,-177.5,40.5,1
411,1,-177.5,39.5,1
412,1,-177.5,38.5,1
413,1,-177.5,37.5,1
414,1,-177.5,36.5,1
415,1,-177.5,35.5,1
416,1,-177.5,34.5,1
417,1,-177.5,33.5,1
418,1,-177.5,32.5,1
419,1,-177.5,31.5,1
420,1,-177.5,30.5,1
421,1,-177.5,29.5,1
422,1,-177.5,28.5,1
423,1,-177.5,27.5,1
424,1,-177.5,26.5,1
425,1,-177.5,25.5,1
426,1,-177.5,24.5,1
427,1,-177.5,23.5,1
428,1,-177.5,22.5,1
429,1,-177.5,21.5,1
430,1,-177.5,20.5,1
431,1,-177.5,19.5,1
432,1,-177.5,18.5,1
433,1,-177.5,17.5,1
434,1,-177.5,16.5,1
435,1,-177.5,15.5,1
436,1,-177.5,14.5,1
437,1,-177.5,13.5,1
438,1,-177.5,12.5,1
439,1,-177.5,11.5,1
440,1,-177.5,10.5,1
441,1,-177.5,9.5,1
442,1,-177.5,8.5,1
443,1,-177.5,7.5,1
444,1,-177.5,6.5,1
445,1,-177.5,5.5,1
446,1,-177.5,4.5,1
447,1,-177.5,3.5,1
448,1,-177.5,2.5,1
449,1,-177.5,1.5,1
450,1,-177.5,0.5,1
451,1,-177.5,-0.5,1
452,1,-177.5,-1.5,1
453,1,-177.5,-2.5,1
454,1,-177.5,-3.5,1
455,1,-177.5,-4.5,1
456,1,-177.5,-5.5,1
457,1,-177.5,-6.5,1
458,1,-177.5,-7.5,1
459,1,-177.5,-8.5,1
460,1,-177.5,-9.5,1
461,1,-177.5,-10.5,1
462,1,-177.5,-11.5,1
463,1,-177.5,-12.5,1
464,1,-177.5,-13.5,1
465,1,-177.5,-14.5,1
466,1,-177.5,-15.5,1
467,1,-177.5,-16.5,1
468,1,-177.5,-17.5,1
469,1,-177.5,-18.5,1
470,1,-177.5,-19.5,1
471,1,-177.5,-20.5,1
472,1,-177.5,-21.5,1
473,1,-177.5,-22.5,1
474,1,-177.5,-23.5,1
475,1,-177.5,-24.5,1
476,1,-177.5,-25.5,1
477,1,-177.5,-26.5,1
478,1,-177.5,-27.5,1
479,1,-177.5,-28.5,1
480,1,-177.5,-29.5,1
481,1,-177.5,-30.5,1
482,1,-177.5,-31.5,1
483,1,-177.5,-32.5,1
484,1,-177.5,-33.5,1
485,1,-177.5,-34.5,1
486,1,-177.5,-35.5,1
487,1,-177.5,-36.5,1
488,1,-177.5,-37.5,1
489,1,-177.5,-38.5,1
490,1,-177.5,-39.5,1
491,1,-177.5,-40.5,1
492,1,-177.5,-41.5,1
493,1,-177.5,-42.5,1
494,1,-177.5,-43.5,1
495,1,-177.5,-44.5,1
496,1,-177.5,-45.5,1
497,1,-177.5,-46.5,1
498,1,-177.5,-47.5,1
499,1,-177.5,-48.5,1
500,1,-177.5,-49.5,1
501,1,-177.5,-50.5,1
502,1,-177.5,-51.5,1
503,1,-177.5,-52.5,1
504,1,-177.5,-53.5,1
505,1,-177.5,-54.5,1
506,1,-177.5,-55.5,1
507,1,-177.5,-56.5,1
508,1,-177.5,-57.5,1
509,1,-177.5,-58.5,1
510,1,-177.5,-59.5,1
511,1,-177.5,-60.5,1
512,1,-177.5,-61.5,1
513,1,-177.5,-62.5,1
514,1,-177.5,-63.5,1
515,1,-177.5,-64.5,1
516,1,-177.5,-65.5,1
517,1,-177.5,-66.5,1
518,1,-177.5,-67.5,1
519,1,-177.5,-68.5,1
520,1,-177.5,-69.5,1
521,1,-177.5,-70.5,1
522,1,-177.5,-71.5,1
523,1,-177.5,-72.5,1
524,1,-177.5,-73.5,1
525,1,-177.5,-74.5,1
526,1,-177.5,-75.5,1
527,1,-177.5,-76.5,1
528,1,-177.5,-77.5,1
529,1,-177.5,-78.5,1
530,1,-177.5,-79.5,1
531,1,-177.5,-80.5,1
532,1,-177.5,-81.5,1
533,1,-177.5,-82.5,1
534,1,-177.5,-83.5,1
535,1,-177.5,-84.5,1
559,1,-176.5,71.5,0
560,1,-176.5,70.5,0
561,1,-176.5,69.5,0
562,1,-176.5,68.5,0
563,1,-176.5,67.5,0
565,1,-176.5,65.5,1
566,1,-176.5,64.5,1
567,1,-176.5,63.5,1
568,1,-176.5,62.5,1
569,1,-176.5,61.5,1
570,1,-176.5,60.5,1
571,1,-176.5,59.5,1
572,1,-176.5,58.5,1
573,1,-176.5,57.5,1
574,1,-176.5,56.5,1
575,1,-176.5,55.5,1
576,1,-176.5,54.5,1
577,1,-176.5,53.5,1
578,1,-176.5,52.5,1
579,1,-176.5,51.5,1
580,1,-176.5,50.5,1
581,1,-176.5,49.5,1
582,1,-176.5,48.5,1
583,1,-176.5,47.5,1
584,1,-176.5,46.5,1
585,1,-176.5,45.5,1
586,1,-176.5,44.5,1
587,1,-176.5,43.5,1
588,1,-176.5,42.5,1
589,1,-176.5,41.5,1
590,1,-176.5,40.5,1
