Year,Flag,Lat,Lon,ALB,BET,PBF,SKJ,TUN,YFT,BIL,BLM,BUM,MLS,SFA,SSP,SWO
1957,JPN,-7.5,-137.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-7.5,-132.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-7.5,-127.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-7.5,-122.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-7.5,-117.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-2.5,-137.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-2.5,-132.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-2.5,-127.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,-2.5,-122.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,2.5,-147.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,2.5,-142.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,2.5,-137.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,2.5,-132.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,2.5,-127.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,2.5,-122.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,7.5,-147.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,7.5,-142.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,7.5,-137.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,7.5,-132.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,7.5,-127.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,7.5,-122.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,27.5,-147.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,32.5,-147.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,32.5,-142.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,32.5,-137.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,JPN,32.5,-132.5,0,0,0,0,0,0,0,0,0,0,0,0,0
