Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1978,USA,23.5,-111.5,0,0,0,0,0,5.216367,0,5.883633
1978,USA,23.5,-109.5,0,0,0,0,0,0,0,7.2
1978,USA,23.5,-107.5,0,0,0,0,0,0.9,0,0
1978,USA,24.5,-114.5,0,0,0,0,0,7.3,0,0
1978,USA,24.5,-112.5,0,0,0,0,0,0.5,0,0.9
1978,USA,24.5,-111.5,0,0,0,0,0,2.075329,0,1.624671
1978,USA,24.5,-110.5,0,0,0,0,0,1.290069,0,1.009931
1978,MEX,22.5,-109.5,0,0,0,0,0,0.4797607,0,1.420239
1978,MEX,22.5,-108.5,0,0,0,0,0,16,0,10.4
1978,MEX,23.5,-109.5,0,0,0,0,0,0,0,2
1978,USA,16.5,-117.5,0,0,0,0,0,1.4,0,9.6
1978,USA,19.5,-112.5,0,0,0,0,0,71.24297,0,37.95702
1978,USA,19.5,-106.5,0,0,0,0,0,6.5,0,6.3
1978,USA,19.5,-105.5,0,0,0,0,0,1.8,0,0.9
1978,USA,20.5,-112.5,0,0,0,0,0,1.4,0,0
1978,USA,20.5,-111.5,0,0,0,0,0,1.4,0,1.4
1978,USA,20.5,-107.5,0,0,0,0,0,11.7,0,20.7
1978,USA,20.5,-106.5,0,0,0,0,0,18.41443,0,6.585571
1978,USA,20.5,-105.5,0,0,0,0,0,11.63367,0,3.266332
1978,USA,21.5,-109.5,0,0,0,0,0,13.69969,0,6.800312
1978,USA,21.5,-108.5,0,0,0,0,0,28.5,0,0.5
1978,USA,21.5,-107.5,0,0,0,0,0,3.6,0,2.7
1978,USA,21.5,-106.5,0,0,0,0,0,2.7,0,0.9
1978,USA,22.5,-108.5,0,0,0,0,0,26.58526,0,6.01474
1978,USA,23.5,-109.5,0,0,0,0,0,0,0,0.9
1978,USA,23.5,-108.5,0,0,0,0,0,3.6,0,3.6
1978,USA,24.5,-113.5,0,0,0,0,0,17.7,0,22.2
1978,USA,24.5,-112.5,0,0,0,0,0,0.7,0,1.1
1978,USA,24.5,-110.5,0,0,0,0,0,0,0,32.6
1978,USA,25.5,-113.5,0,0,0,0,0,0.2,0,0.2
1978,USA,29.5,-118.5,0.2,0,0,0,0,0,0,0
1978,MEX,21.5,-109.5,0,0,0,0,0,3,0,12
1978,MEX,22.5,-111.5,0,0,0,0,0,5,0,30
1978,MEX,22.5,-110.5,0,0,0,0,0,0.7,0,9.2
1978,MEX,22.5,-109.5,0,0,0,0,0,3,0,2
1978,MEX,24.5,-113.5,0,0,0,0,0,12,0,13
1978,MEX,26.5,-114.5,0,0,0,0,0,0,0,5
1978,USA,16.5,-117.5,0,0,0,0,0,91.5,0,11.8
1978,USA,18.5,-114.5,0,0,0,0,0,2.7,0,0
1978,USA,18.5,-110.5,0,0,0,0,0,5.4,0,0
1978,USA,19.5,-112.5,0,0,0,0,0,18.2,0,0
1978,USA,20.5,-110.5,0,0,0,0,0,9.1,0,15.9
1978,USA,21.5,-113.5,0,0,0,0,0,19.9,0,5.4
1978,USA,21.5,-112.5,0,0,0,0,0,0.7852595,0,0.6147405
1978,USA,21.5,-111.5,0,0,0,0,0,9.094567,0,8.605433
1978,USA,21.5,-109.5,0,0,0,0,0,25.2228,0,50.9772
1978,USA,21.5,-108.5,0,0,0,0,0,50.8,0,0
1978,USA,22.5,-112.5,0,0,0,0,0,46.2,0,2.7
1978,USA,22.5,-111.5,0,0,0,0,0,23.5,0,0
1978,USA,22.5,-110.5,0,0,0,0,0,78,0,132.5
1978,USA,22.5,-109.5,0,0,0,0,0,6.113806,0,4.786194
1978,USA,22.5,-108.5,0,0,0,0,0,116.7343,0,95.76575
1978,USA,23.5,-113.5,0,0,0,0,0,9.094567,0,44.50543
1978,USA,23.5,-112.5,0,0,0,0,0,1.8,0,0
1978,USA,24.5,-113.5,0,0,0,0,0,165.5796,0,161.7204
1978,USA,24.5,-112.5,0,0,0,0,0,3.5,0,2
1978,USA,25.5,-114.5,0,0,0,0,0,21.8,0,5.4
1978,USA,25.5,-113.5,0,0,0,0,0,13.6,0,1
1978,USA,25.5,-112.5,0,0,0,0,0,6.9,0,0
1978,USA,26.5,-114.5,0,0,0,0,0,0,0,25.4
1978,USA,26.5,-112.5,0,0,0,0,0,2.019239,0,1.580761
1978,USA,27.5,-116.5,0,0,0,0,0,10.9,0,2.7
1978,MEX,21.5,-110.5,0,0,0,0,0,1.2,0,1.7
1978,MEX,22.5,-111.5,0,0,0,0,0,2,0,18
1978,MEX,22.5,-110.5,0,0,0,0,0,2,0,28
1978,MEX,23.5,-111.5,0,0,0,0,0,0,0,0.5
1978,USA,20.5,-109.5,0,0,0,0,0,27.13305,0,21.76695
1978,USA,21.5,-111.5,0,0,0,0,0,183.5797,0,127.3203
1978,USA,21.5,-109.5,0,0,0,0,0,82.16454,0,165.9355
1978,USA,22.5,-112.5,0,0,0,0,0,38.09789,0,42.60211
1978,USA,22.5,-111.5,0,0,0,0,0,61.90457,0,162.8954
1978,USA,22.5,-110.5,0,0,0,0,0,90.59789,0,173.4021
1978,USA,23.5,-112.5,0,0,0,0,0,66.86671,0,83.43329
1978,USA,23.5,-111.5,0,0,0,0,0,140.6515,0,142.8485
1978,USA,23.5,-110.5,0,0,0,0,0,0,0,38.1
1978,USA,24.5,-113.5,0,0,0,0,0,1.514429,0,1.185571
1978,USA,24.5,-112.5,0,0,0,0,0,44.28976,0,37.71024
1978,USA,25.5,-114.5,0,0,0,0,0,23.5,0,0
1978,USA,25.5,-113.5,0,0,0,0,0,5.4,0,0
1978,USA,25.5,-112.5,0,0,0,0,0,1.8,0,1.8
1978,USA,26.5,-114.5,0,0,0,0,0,16.4,0,41.8
1978,USA,26.5,-113.5,0,0,0,0,0,49.8,0,19.9
1978,USA,32.5,-119.5,7,0,0,0,0,0,0,0
1978,USA,32.5,-118.5,0.5,0,0,0,0,0,0,0
1978,MEX,18.5,-114.5,0,0,0,0,0,9.1,0,3.6
1978,MEX,21.5,-111.5,0,0,0,0,0,1,0,1
1978,MEX,23.5,-112.5,0,0,0,0,0,0,0,2
1978,MEX,24.5,-113.5,0,0,0,0,0,1.8,0,2.7
1978,MEX,24.5,-112.5,0,0,0,0,0,12.8,0,10
1978,USA,18.5,-114.5,0,0,0,0,0,13.6,0,4.5
1978,USA,18.5,-110.5,0,0,0,0,0,3.6,0,1.8
1978,USA,19.5,-112.5,0,0,0,0,0,25.00481,0,21.29519
1978,USA,20.5,-109.5,0,0,0,0,0,1.8,0,1.8
1978,USA,21.5,-111.5,0,0,0,0,0,48.1,0,2.3
1978,USA,22.5,-112.5,0,0,0,0,0,9.1,0,10.9
1978,USA,22.5,-111.5,0,0,0,0,0,14.60481,0,24.39519
1978,USA,23.5,-112.5,0,0,0,0,0,18.98976,0,21.81024
1978,USA,23.5,-111.5,0,0,0,0,0,34.22405,0,12.77595
1978,USA,24.5,-114.5,0,0,0,0,0,4.094567,0,3.205433
1978,USA,24.5,-113.5,0,0,0,0,0,24.87664,0,19.42336
1978,USA,24.5,-112.5,0,0,0,0,0,62.34723,0,63.25277
1978,USA,24.5,-111.5,0,0,0,0,0,2.7,0,0
1978,USA,25.5,-113.5,0,0,0,0.9,0.9,1.4,0,2.3
1978,USA,26.5,-113.5,0,0,0,0,0,6.3,0,2.7
1978,USA,28.5,-115.5,0,0,0,0,0,0.5,0,2.7
1978,USA,29.5,-117.5,0.2,0,0,0,0,0,0,0
1978,USA,31.5,-120.5,2.5,0,0,0,0,0,0,0
1978,USA,31.5,-118.5,4.1,0,0,0,0,0,0,0
1978,USA,32.5,-119.5,1.1,0,0,0,0,0,0,0
