Flag	CountryGroupID	FishingEntityID 
SEN	1	157
CHN	3	31
TWN	3	32
JPN	3	91
KOR	3	95
BMU	4	13
SLV	4	50
PYF	6	60
CHL	7	30
PRT	8	141
COL	7	35
ECU	7	49
ESP	8	165
MEX	5	110
Other	2	1000
USA	5	187
VEN	7	190
VUT	4	122
PAN	4	135
BLZ	4	16
BOL	2	1000
HND	7	79
NIC	7	124
GTM	7	75
PER	7	137
CAN	5	26
CRI	7	41
NLD	8	118
CYM	4	28
