Flag	CountryGroupID	FishingEntityID 
SEN	1	157
OTR	2	1000
CHN	3	31
TWN	3	32
JPN	3	91
KOR	3	95
BLZ	4	16
VUT	4	122
PAN	4	135
BMU	4	13
CYM	4	28
SLV	4	50
CAN	5	26
MEX	5	110
USA	5	187
PYF	6	60
CHL	7	30
COL	7	35
CRI	7	41
GTM	7	75
HND	7	79
VEN	7	190
ECU	7	49
NIC	7	124
PER	7	137
ESP	8	165
PRT	8	141
NLD	8	118
