Year,Flag,Lat,Lon,BIL,BLM,BUM,MLS,SFA,SSP,SWO
1993,USA,-14.5,-82.5,0,0,0,0,0,0,0
1993,USA,-14.5,-81.5,0,0,0,0,0,0,0
1993,USA,-13.5,-86.5,1,0,0,0,0,0,0
1993,USA,-13.5,-84.5,0,0,0,0,0,0,0
1993,USA,-13.5,-82.5,0,0,0,0,0,0,0
1993,USA,-12.5,-84.5,0,1,0,0,0,0,0
1993,USA,3.5,-104.5,0,0,0,0,0,0,0
1993,USA,3.5,-96.5,0,0,0,0,0,0,0
1993,USA,3.5,-89.5,0,0,0,0,0,0,0
1993,USA,5.5,-93.5,0,0,0,0,0,0,0
1993,USA,5.5,-92.5,0,0,0,0,0,0,0
1993,USA,5.5,-91.5,0,0,0,0,0,0,0
1993,USA,5.5,-85.5,0,0,0,0,0,0,0
1993,USA,6.5,-95.5,0,0,0,0,0,0,0
1993,USA,6.5,-94.5,0,0,0,0,0,0,0
1993,USA,6.5,-93.5,0,0,0,0,0,0,0
1993,USA,6.5,-92.5,0,0,0,0,0,0,0
1993,USA,6.5,-91.5,1,0,0,0,0,0,0
1993,USA,6.5,-90.5,1,0,0,0,0,0,0
1993,USA,6.5,-88.5,0,0,0,0,0,0,0
1993,USA,7.5,-96.5,0,0,0,0,0,0,0
1993,USA,7.5,-93.5,0,0,0,0,0,0,0
1993,USA,8.5,-96.5,0,0,0,0,0,0,0
1993,VEN,-16.5,-81.5,0,0,0,0,0,0,0
1993,VEN,-16.5,-80.5,0,0,0,0,0,0,0
1993,VEN,-15.5,-82.5,0,0,0,1,0,0,0
1993,VEN,-15.5,-80.5,0,0,0,0,0,0,0
1993,VEN,-14.5,-85.5,0,0,0,0,0,0,0
1993,VEN,-14.5,-83.5,0,0,0,1,0,0,0
1993,VEN,-14.5,-82.5,0,0,0,0,0,0,0
1993,VEN,-14.5,-81.5,0,0,0,0,0,0,0
1993,VEN,-14.5,-80.5,0,0,0,0,0,0,0
1993,VEN,-13.5,-86.5,0,0,0,0,0,0,0
1993,VEN,-13.5,-85.5,0,0,0,0,0,0,0
1993,VEN,-13.5,-84.5,0,0,0,0,0,0,0
1993,VEN,-13.5,-83.5,0,0,0,0,0,0,0
1993,VEN,-13.5,-82.5,0,0,0,0,0,0,0
1993,VEN,-12.5,-86.5,0,0,0,0,0,0,0
1993,VEN,-12.5,-85.5,0,0,0,3,0,0,0
1993,VEN,-12.5,-84.5,0,0,0,0,0,0,0
1993,VEN,-12.5,-83.5,0,0,0,0,0,0,0
1993,VEN,-12.5,-82.5,0,0,0,3,0,0,0
1993,VEN,-11.5,-86.5,0,0,0,0,0,0,0
1993,VEN,-11.5,-85.5,0,0,0,0,0,0,0
1993,VEN,-11.5,-84.5,0,0,0,0,0,0,0
1993,VEN,-11.5,-83.5,0,0,0,0,0,0,0
