SpeciesName	TaxonKey	SpeciesGroupID
ALB	600142	2
BET	600146	2
BIL	400419	1
BLM	600217	1
BUM	600216	1
MLS	600223	1
PBF	614290	2
SFA	600077	1
SKJ	600107	2
SSP	603915	1
SWO	600226	1
TUN	400416	5
YFT	600143	2
BSH	600898	3
CCL	600874	3
FAL	600868	3
MAK	500638	3
OCS	600875	3
RSK	400011	3
SKH	200004	3
SMA	600752	3
SPN	500693	3
THR	500639	3
