SpeciesName	TaxonKey	SpeciesGroupID
BIL	400419	1
BLM	600217	1
BUM	600216	1
MLS	600223	1
SFA	600077	1
SSP	603915	1
SWO	600226	1
ALB	600142	2
BET	600146	2
BKJ	600098	5
BZX	400416	5
PBF	614290	2
SKJ	600107	2
TUN	400416	5
YFT	600143	2
SKH	200007	3
BSH	600898	3
CCL	600874	3
FAL	600868	3
OCS	600875	3
SEPN	500816	3
SPL	600912	3
SPN	500693	3
SPZ	600917	3
THR	500639	3
CGX	400314	4
DOX	500116	4
MZZ	100339	4
FRZ	501163	2
