Lat	Lon	x	y	BigCellTypeID
50S	180W	-177.5	-47.5	2
45S	180W	-177.5	-42.5	2
40S	175W	-172.5	-37.5	2
35S	175W	-172.5	-32.5	2
45S	175W	-172.5	-42.5	2
05S	175W	-172.5	-2.5	2
15S	175W	-172.5	-12.5	2
20S	175W	-172.5	-17.5	2
10S	175W	-172.5	-7.5	2
25S	175W	-172.5	-22.5	2
30S	175W	-172.5	-27.5	2
35S	170W	-167.5	-32.5	2
40S	170W	-167.5	-37.5	2
45S	170W	-167.5	-42.5	2
50S	170W	-167.5	-47.5	2
05S	170W	-167.5	-2.5	2
10S	170W	-167.5	-7.5	2
25S	170W	-167.5	-22.5	2
30S	170W	-167.5	-27.5	2
15S	170W	-167.5	-12.5	2
20S	170W	-167.5	-17.5	2
45S	165W	-162.5	-42.5	2
40S	165W	-162.5	-37.5	2
50S	165W	-162.5	-47.5	2
35S	165W	-162.5	-32.5	2
05S	165W	-162.5	-2.5	2
10S	165W	-162.5	-7.5	2
30S	165W	-162.5	-27.5	2
25S	165W	-162.5	-22.5	2
15S	165W	-162.5	-12.5	2
20S	165W	-162.5	-17.5	2
45S	160W	-157.5	-42.5	2
50S	160W	-157.5	-47.5	2
40S	160W	-157.5	-37.5	2
35S	160W	-157.5	-32.5	2
05S	160W	-157.5	-2.5	2
10S	160W	-157.5	-7.5	2
15S	160W	-157.5	-12.5	2
30S	160W	-157.5	-27.5	2
20S	160W	-157.5	-17.5	2
25S	160W	-157.5	-22.5	2
45S	155W	-152.5	-42.5	2
35S	155W	-152.5	-32.5	2
40S	155W	-152.5	-37.5	2
05S	155W	-152.5	-2.5	2
10S	155W	-152.5	-7.5	2
20S	155W	-152.5	-17.5	2
30S	155W	-152.5	-27.5	2
15S	155W	-152.5	-12.5	2
25S	155W	-152.5	-22.5	2
40S	150W	-147.5	-37.5	2
45S	150W	-147.5	-42.5	2
35S	150W	-147.5	-32.5	2
10S	150W	-147.5	-7.5	2
15S	150W	-147.5	-12.5	2
20S	150W	-147.5	-17.5	2
25S	150W	-147.5	-22.5	2
30S	150W	-147.5	-27.5	2
40S	145W	-142.5	-37.5	2
45S	145W	-142.5	-42.5	2
35S	145W	-142.5	-32.5	2
10S	145W	-142.5	-7.5	2
15S	145W	-142.5	-12.5	2
20S	145W	-142.5	-17.5	2
25S	145W	-142.5	-22.5	2
30S	145W	-142.5	-27.5	2
40S	140W	-137.5	-37.5	2
45S	140W	-137.5	-42.5	2
10S	140W	-137.5	-7.5	2
15S	140W	-137.5	-12.5	2
35S	140W	-137.5	-32.5	2
30S	140W	-137.5	-27.5	2
20S	140W	-137.5	-17.5	2
25S	140W	-137.5	-22.5	2
40S	135W	-132.5	-37.5	2
45S	135W	-132.5	-42.5	2
10S	135W	-132.5	-7.5	2
15S	135W	-132.5	-12.5	2
20S	135W	-132.5	-17.5	2
25S	135W	-132.5	-22.5	2
35S	135W	-132.5	-32.5	2
30S	135W	-132.5	-27.5	2
