Year,Month,Lat,Lon,skj_c_una,yft_c_una,bet_c_una,oth_c_una,skj_c_log,yft_c_log,bet_c_log,oth_c_log,skj_c_dfad,yft_c_dfad,bet_c_dfad,oth_c_dfad,skj_c_afad,yft_c_afad,bet_c_afad,oth_c_afad,skj_c_oth,yft_c_oth,bet_c_oth,oth_c_oth
1970,8,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,8,30N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,8,35N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,8,40N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,00N,135E,0,0,0,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,05N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,05N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,15N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,30N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,9,40N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,00N,135E,0,0,0,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,05N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,05N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,05N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,20S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,00N,135E,0,0,0,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,05S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,20S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,12,00N,135E,0,0,0,0,102.195,137.274,16.629,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,12,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
