Gear	GearGroupID	Layer3GearID
BB	301	1
BBM	301	3
BBN	301	4
BBPS	301	2
GIHT	606	12
GILL	500	10
GIOF	500	40
GL	500	11
FLL	302	28
LG	302	29
LL	302	22
LLEX	302	24
LLTR	302	9
SLL	302	26
ELL	302	27
PS	401	43
BS	700	41
CN	700	41
DDSEI	401	41
DSEI	401	41
FN	602	41
HAND	303	16
HATR	300	17
HOOK	301	21
LIFT	700	41
LLCO	302	8
PSS	401	55
RIN	602	51
SPOR	700	56
TRAP	601	41
TRAW	100	41
TROL	302	67
TROLM	302	68
TROLN	302	69
UNCL	801	41
HLOF	303	16
RRBB	301	1
RNOF	602	51
