Fleet,Gear,Year,MonthStart,Grid,YFT-MT,BET-MT,SKJ-MT,ALB-MT,SBF-MT,LOT-MT,FRZ-MT,KAW-MT,COM-MT,SWO-MT,BILL-MT,TUX-MT,SKH-MT,NTAD-MT
LKA    ,GIOF,2017,9,5100051,,,0.4,,,,,,,,,,,
LKA    ,GIOF,2021,7,5100055,,,0.1,,,,,,,,,,,
LKA    ,GIOF,2021,9,5100055,,,1.8,,,,,,,,,,,
SYC    ,LLCO,2006,3,5100055,0.17,0.03,,,,,,,,0.1,,,0.27,
SYC    ,LLCO,2008,9,5100055,,0.36,,,,,,,,0.39,0.07,,0.03,
SYC    ,LLCO,2008,10,5100055,0.57,0.04,,,,,,,,0.39,,,,
SYC    ,LLCO,2015,7,5100055,,,,,,,,,,0.27,,,,
SYC    ,LLCO,2023,2,5100055,0.07,0.07,,,,,,,,,,,,
LKA    ,GIOF,2019,4,5100056,,,0.1,,,,,,,,,,,
SYC    ,LLCO,2006,3,5100056,0.03,,,,,,,,,0.1,,,,
SYC    ,LLCO,2008,9,5100056,0.2,0.05,,,,,,,,0.12,,,0.07,
SYC    ,LLCO,2019,3,5100056,1.49,,,,,,,,,0.1,0.16,,,
SYC    ,LLCO,2023,2,5100056,4.38,,,,,,,,,,0.07,,,
SYC    ,LLCO,2023,3,5100056,0.49,,,,,,,,,,,,,
LKA    ,GIOF,2016,3,5100057,,,0.7,,,,,,,0.1,0.2,,1.2,
LKA    ,GIOF,2016,4,5100057,6.5,,,,,,,,,,,,0.4,
LKA    ,GIOF,2019,4,5100057,,,0.3,,,,,,,0.1,0.1,,,
SYC    ,LLCO,2023,3,5100057,0.17,,,,,,,,,0.03,,,,
LKA    ,GIOF,2016,3,5100058,,,0.4,,,,,,,,0.1,,0.2,
SYC    ,LLCO,2017,11,5100058,0.07,,,,,,,,,,,,,
LKA    ,GIOF,2016,3,5100059,,,0.4,,,,,,,0.1,,,0.1,
LKA    ,GIOF,2016,4,5100059,5.7,0.1,,0.6,,,,,,,,,0.5,
MDV    ,LLCO,2017,2,5100060,2.95,1.7,,,,,,,,,,,,
MDV    ,LLCO,2017,3,5100060,4.29,0.68,,,,,,,,,,,,
MDV    ,LLCO,2017,5,5100060,2.44,1.34,,,,,,,,0.05,,,,
LKA    ,GIOF,2017,4,5100062,0.1,,0.4,,,,,,,0.1,0.2,,0.1,
MDV    ,LLCO,2017,2,5100062,2.05,1.03,,,,,,,,,,,,
MDV    ,LLCO,2018,1,5100062,1.38,0.37,,,,,,,,,,,,
LKA    ,GIOF,2017,4,5100063,,,0.2,,,,,,,,0.1,,0.1,
MDV    ,LLCO,2017,1,5100063,6.17,4.32,,,,,,,,3.8,,,,
MDV    ,LLCO,2017,4,5100063,4,3,,,,,,,,,,,,
MDV    ,LLCO,2018,3,5100063,3.07,,,,,,,,,,,,,
MDV    ,LLCO,2018,4,5100063,1.17,0.18,,,,,,,,,,,,
MDV    ,LLCO,2018,4,5100064,1.56,0.14,,,,,,,,,,,,
LKA    ,GIOF,2017,4,5100065,0.1,,1.5,,,,,,,,0.1,,0.2,
MDV    ,LLCO,2016,6,5100065,0.14,0.18,,,,,,,,0.34,0.89,,,
MDV    ,LLCO,2017,4,5100065,8.66,5.62,,,,,,,,,,,,
MDV    ,LLCO,2017,9,5100065,11.25,4.15,,,,,,,,,,,,
MDV    ,LLCO,2018,1,5100065,0.73,0.08,,,,,,,,,,,,
MDV    ,LLCO,2019,3,5100065,6.75,,,,,,,,,,0.06,,,
LKA    ,GIOF,2015,8,5100066,0.93,,1.9,,,,,,,,0.05,,0.1,
LKA    ,GIOF,2017,4,5100066,,,0.8,,,,,,,,0.7,,0.3,
LKA    ,GIOF,2018,1,5100066,0.1,,1.5,,,,,,,,0.1,,,
LKA    ,GIOF,2018,12,5100066,,,0.4,,,,,,,,,,,
MDV    ,LLCO,2017,1,5100066,0.03,0.02,,0.01,,,,,,,0.05,,,
MDV    ,LLCO,2017,2,5100066,10.32,1.82,,,,,,,,,,,,
MDV    ,LLCO,2017,10,5100066,9.8,3.26,,,,,,,,,,,,
MDV    ,LLCO,2018,1,5100066,0.03,0.03,0.02,,,,,,,0.21,0.13,,,
MDV    ,LLCO,2018,4,5100066,0.26,,,,,,,,,,,,,
MDV    ,LLCO,2018,6,5100066,,,,,,,,,,0.04,0.03,,,
MDV    ,LLCO,2018,10,5100066,0.64,0.24,,,,,,,,0.57,0.43,,,
MDV    ,LLCO,2019,3,5100066,0.15,0.05,,,,,,,,,0.02,,,
MDV    ,LLCO,2019,4,5100066,0.41,,,,,,,,,,0.13,,,
LKA    ,GIOF,2018,1,5100067,0.1,,0.2,,,,,,,,0.1,,,
LKA    ,GIOF,2019,7,5100067,,,0.6,,,0.2,,,,,0.2,,,
LKA    ,GIOF,2023,7,5100067,,,0.82,,,,,,,,,,,
MDV    ,LLCO,2014,12,5100067,0.25,0.55,,,,,,,,1.07,0.02,,,0.01
MDV    ,LLCO,2016,4,5100067,1.42,0.23,0.02,,,,,,,0.06,,,,0.04
MDV    ,LLCO,2016,6,5100067,1.38,0.12,,,,,,,,0.07,0.14,,,
MDV    ,LLCO,2016,7,5100067,0.03,0.21,,,,,,,,0.06,0.27,,,
MDV    ,LLCO,2016,8,5100067,0.06,0.27,,,,,,,,,0.37,,,
MDV    ,LLCO,2017,1,5100067,0.05,0.02,,,,,,,,,0.14,,,
MDV    ,LLCO,2017,3,5100067,1.53,0.29,,,,,,,,,,,,
MDV    ,LLCO,2017,4,5100067,4.39,1.92,,,,,,,,0.06,,,,
MDV    ,LLCO,2017,5,5100067,0.35,0.5,,0.02,,,,,,,0.2,,,
MDV    ,LLCO,2017,9,5100067,2.97,0.72,,,,,,,,0.38,,,,
MDV    ,LLCO,2017,11,5100067,1.56,2.57,,,,,,,,,,,,
MDV    ,LLCO,2018,4,5100067,0.35,,,,,,,,,,,,,
MDV    ,LLCO,2018,6,5100067,0.08,0.21,,,,,,,,0.07,0.07,,,
MDV    ,LLCO,2018,7,5100067,,0.27,,,,,,,,0.11,0.37,,,
MDV    ,LLCO,2019,2,5100067,0.94,0.07,0.01,,,,,,,0.04,,,,
MDV    ,LLCO,2019,4,5100067,2.55,0.28,,,,,,,,,0.64,,,
MDV    ,LLCO,2019,5,5100067,1.24,,,0.12,,,,,,0.04,0.44,,,
LKA    ,GIOF,2019,1,5100068,,,0.1,,,,,,,,,,,
LKA    ,GIOF,2020,6,5100068,0.2,0.2,,,,,,,,0.4,,,,
LKA    ,GIOF,2020,7,5100068,2,0.3,,,,,,,,0.2,0.2,,0.1,
LKA    ,GIOF,2021,7,5100068,,,,,,,,,,,,,,
MDV    ,LLCO,2016,3,5100068,11.41,0.32,,,,,,,,,0.06,,,
MDV    ,LLCO,2016,4,5100068,0.4,,,,,,,,,,0.12,,,
MDV    ,LLCO,2016,5,5100068,0.23,0.13,0.01,,,,,,,0.18,0.16,,,
MDV    ,LLCO,2016,6,5100068,4.02,0.28,,1.34,,,,,,,0.74,,,
MDV    ,LLCO,2016,7,5100068,,0.02,,,,,,,,0.13,0.03,,,
MDV    ,LLCO,2016,8,5100068,,0.42,,,,,,,,0.21,0.42,,,
MDV    ,LLCO,2016,9,5100068,0.62,0.18,,,,,,,,0.03,0.25,,,
MDV    ,LLCO,2016,11,5100068,0.05,0.17,,,,,,,,0.06,0.23,,,
MDV    ,LLCO,2016,12,5100068,1.66,0.28,,,,,,,,0.21,0.54,,,
MDV    ,LLCO,2017,1,5100068,3.99,2.22,,0.04,,,,,,0.1,1.77,,,
MDV    ,LLCO,2017,2,5100068,0.06,,,,,,,,,,0.13,,,
MDV    ,LLCO,2017,3,5100068,2.35,1.12,,,,,,,,,0.09,,,
MDV    ,LLCO,2017,4,5100068,3.54,1.78,,,,,,,,,0.05,,,
MDV    ,LLCO,2017,5,5100068,9.74,4.87,,0.04,,,,,,0.06,0.65,,,
MDV    ,LLCO,2017,7,5100068,2.37,0.9,,,,,,,,,,,,
MDV    ,LLCO,2017,11,5100068,4,5,,,,,,,,,,,,
MDV    ,LLCO,2017,12,5100068,0.16,0.05,4.00E-03,,,,,,,0.78,0.61,,,
MDV    ,LLCO,2018,1,5100068,0.57,0.48,0.03,0.01,,,,,,1.19,0.79,,,
MDV    ,LLCO,2018,3,5100068,3.73,,,,,,,,,,,,,
MDV    ,LLCO,2018,4,5100068,0.1,,,,,,,,,,,,,
MDV    ,LLCO,2018,5,5100068,1.22,0.13,0.01,,,,,,,,0.55,,,
MDV    ,LLCO,2018,6,5100068,2.44,0.67,,,,,,,,0.55,0.36,,,
MDV    ,LLCO,2018,7,5100068,2.85,1.55,,,,,,,,0.76,0.48,,,
MDV    ,LLCO,2018,8,5100068,2.44,1.43,,,,,,,,1.41,0.92,,,
MDV    ,LLCO,2018,9,5100068,0.21,0.03,,,,,,,,0.06,0.04,,,
MDV    ,LLCO,2019,2,5100068,0.86,0.16,,,,,,,,,,,,
MDV    ,LLCO,2019,3,5100068,0.57,,,,,,,,,,,,,
MDV    ,LLCO,2019,4,5100068,2.21,0.73,,0.5,,,,,,0.08,0.29,,,
MDV    ,LLCO,2019,5,5100068,5.46,0.5,0.44,0.29,,,,,,0.71,1.14,,,
MDV    ,HAND,2013,2,5100069,74.6,,,,,,,,,,,,,
MDV    ,HAND,2013,3,5100069,,,,,,,,,,,,,,
MDV    ,HAND,2013,4,5100069,,,,,,,,,,,,,,
MDV    ,HAND,2013,5,5100069,0.18,,,,,,,,,,,,,
MDV    ,HAND,2013,7,5100069,3.14,,,,,,,,,,,,,
MDV    ,HAND,2016,4,5100069,16.15,,,,,,,,,,,,,
MDV    ,HAND,2016,12,5100069,7.95,,,,,,,,,,,,,
MDV    ,HAND,2017,1,5100069,3.74,,,,,,,,,,,,,
MDV    ,HAND,2017,2,5100069,5.3,,,,,,,,,,,,,
MDV    ,HAND,2019,8,5100069,1.61,,,,,,,,,,,,,
MDV    ,HAND,2019,11,5100069,5.09,,,,,,,,,,,,,
MDV    ,HLOF,2020,4,5100069,8.08,,,,,,,,,,,,,
MDV    ,HLOF,2022,2,5100069,2.19,,,,,,,,,,,,,
MDV    ,LLCO,2013,4,5100069,0.06,0.4,,,,,,,,,,,,
MDV    ,LLCO,2013,6,5100069,1.28,7.46,,,,,,,,,0.69,,0.36,
MDV    ,LLCO,2013,8,5100069,2.58,5.83,,,,,,,,,1.72,,0.2,0.02
MDV    ,LLCO,2013,9,5100069,0.85,2.24,,,,,,,,,0.35,,,0.01
MDV    ,LLCO,2013,10,5100069,1.26,2.54,,,,,,,,,0.44,,0.02,0.08
MDV    ,LLCO,2013,12,5100069,0.04,0.57,,,,,,,,,0.15,,,
MDV    ,LLCO,2014,10,5100069,0.34,0.05,,0.02,,,,,,,0.21,,,8.00E-03
MDV    ,LLCO,2016,2,5100069,0.48,0.11,,,,,,,,0.02,0.06,,,
MDV    ,LLCO,2016,3,5100069,7.92,0.1,,0.1,,,,,,,0.26,,,
MDV    ,LLCO,2016,4,5100069,16.04,1.2,0.34,,,,,,,0.56,1.12,,,
MDV    ,LLCO,2016,6,5100069,0.98,1.23,,0.09,,,,,,0.11,0.59,,,
MDV    ,LLCO,2016,7,5100069,0.24,2.46,,,,,,,,1.09,1.18,,,
MDV    ,LLCO,2016,8,5100069,0.1,0.3,,,,,,,,,0.32,,,
MDV    ,LLCO,2016,9,5100069,1.72,0.8,,,,,,,,0.09,0.39,,,
MDV    ,LLCO,2016,10,5100069,0.97,0.26,,,,,,,,,,,,
MDV    ,LLCO,2016,11,5100069,1.16,2.16,,,,,,,,0.2,0.54,,,
MDV    ,LLCO,2016,12,5100069,1.37,0.74,0.02,,,,,,,0.73,1.22,,,
MDV    ,LLCO,2017,1,5100069,1.95,0.62,5.00E-03,,,,,,,0.73,1.82,,,
MDV    ,LLCO,2017,2,5100069,0.74,0.06,,,,,,,,,0.08,,,
MDV    ,LLCO,2017,3,5100069,8.5,1.24,,,,,,,,,0.41,,,
MDV    ,LLCO,2017,4,5100069,1.56,2.35,,,,,,,,0.11,0.25,,,
MDV    ,LLCO,2017,5,5100069,8.19,2.4,,0.02,,,,,,0.07,0.2,,,
MDV    ,LLCO,2017,8,5100069,0.71,0.43,,,,,,,,0.1,0.05,,,
MDV    ,LLCO,2017,9,5100069,0.32,0.03,,,,,,,,,,,,
MDV    ,LLCO,2017,12,5100069,0.59,0.46,0.1,0.06,,,,,,2.8,1.4,,,
MDV    ,LLCO,2018,1,5100069,0.13,0.4,0.04,,,,,,,1.54,1.35,,,
MDV    ,LLCO,2018,4,5100069,1.61,0.04,,,,,,,,0.06,0.11,,,
MDV    ,LLCO,2018,5,5100069,2.12,1.22,0.03,,,,,,,0.15,0.68,,,
MDV    ,LLCO,2018,6,5100069,0.93,0.81,,,,,,,,0.22,0.45,,,
MDV    ,LLCO,2018,7,5100069,0.83,0.44,,,,,,,,0.25,0.05,,,
MDV    ,LLCO,2018,8,5100069,1.87,0.32,,,,,,,,0.1,0.41,,,
MDV    ,LLCO,2018,9,5100069,0.44,0.53,,,,,,,,,0.27,,,
MDV    ,LLCO,2018,10,5100069,0.36,0.32,,,,,,,,0.16,0.03,,,
MDV    ,LLCO,2018,11,5100069,0.07,0.1,,,,,,,,0.07,0.03,,,
MDV    ,LLCO,2019,2,5100069,4.02,0.13,0.06,,,,,,,0.02,0.23,,,
MDV    ,LLCO,2019,3,5100069,10.19,0.41,,0.5,,,,,,0.07,1.33,,,
MDV    ,LLCO,2019,4,5100069,4.06,0.32,0.01,0.06,,,,,,,0.78,,,
MDV    ,HAND,2013,2,5100070,206.6,,,,,,,,,,,,,
MDV    ,HAND,2013,3,5100070,1.97,,,,,,,,,,,,,
MDV    ,HAND,2013,4,5100070,2.8,,,,,,,,,,,,,
MDV    ,HAND,2013,7,5100070,1.09,,,,,,,,,,,,,
MDV    ,HAND,2014,3,5100070,8.37,,,,,,,,,,,,,
MDV    ,HAND,2014,4,5100070,2.95,,,,,,,,,,,,,
MDV    ,HAND,2014,6,5100070,3.08,,,,,,,,,,,,,
MDV    ,HAND,2015,3,5100070,,,,,,,,,,,,,,
MDV    ,HAND,2016,1,5100070,2.83,,,,,,,,,,,,,
MDV    ,HAND,2017,5,5100070,10.29,,,,,,,,,,,,,
MDV    ,HAND,2017,6,5100070,5.63,,,,,,,,,,,,,
MDV    ,HAND,2017,8,5100070,3.12,,,,,,,,,,,,,
MDV    ,HAND,2019,5,5100070,2.46,,,,,,,,,,,,,
MDV    ,HAND,2019,12,5100070,0.28,,,,,,,,,,,,,
MDV    ,HAND,2021,3,5100070,4.42,,0.59,,,,,,,,,,,
MDV    ,HAND,2023,6,5100070,10.27,,,,,,,,,,,,,
MDV    ,HAND,2023,12,5100070,,,0.2,,,,,,,,,,,
MDV    ,HLOF,2018,8,5100070,,,,,,,,,,,,,,
MDV    ,HLOF,2018,10,5100070,,,,,,,,,,,,,,
MDV    ,HLOF,2019,4,5100070,4.56,,,,,,,,,,,,,
MDV    ,LLCO,2013,4,5100070,0.35,4.61,,,,,,,,,0.17,,0.26,
MDV    ,LLCO,2013,8,5100070,0.12,0.88,,,,,,,,,0.33,,0.2,0.03
MDV    ,LLCO,2013,10,5100070,0.78,3.77,,,,,,,,,0.92,,0.08,0.09
MDV    ,LLCO,2013,12,5100070,0.05,1.46,,,,,,,,,0.23,,0.04,
MDV    ,LLCO,2014,2,5100070,0.29,0.11,,,,,,,,0.07,0.23,,,0.01
MDV    ,LLCO,2014,8,5100070,0.13,0.73,5.00E-03,,,,,,,8.00E-03,0.16,,,0.01
MDV    ,LLCO,2014,10,5100070,0.48,0.49,,0.01,,,,,,0.03,0.18,,,
MDV    ,LLCO,2015,10,5100070,0.35,0.09,,,,,,,,0.42,,,,
MDV    ,LLCO,2015,12,5100070,0.12,0.06,,,,,,,,,,,,
MDV    ,LLCO,2016,1,5100070,0.13,0.07,,,,,,,,,,,,
MDV    ,LLCO,2016,2,5100070,0.36,0.55,,,,,,,,0.13,0.04,,,
MDV    ,LLCO,2016,3,5100070,8.74,0.32,0.02,,,,,,,0.62,1.13,,,
MDV    ,LLCO,2016,4,5100070,26.9,0.43,,0.34,,,,,,1.07,3.86,,,
MDV    ,LLCO,2016,6,5100070,1.6,0.39,,,,,,,,0.06,0.72,,,
MDV    ,LLCO,2016,7,5100070,0.22,0.11,,,,,,,,,0.77,,,
MDV    ,LLCO,2016,8,5100070,,,,,,,,,,,0.04,,,
MDV    ,LLCO,2016,9,5100070,0.34,0.11,,0.02,,,,,,,0.2,,,
MDV    ,LLCO,2016,10,5100070,0.13,0.17,,,,,,,,,0.07,,,
MDV    ,LLCO,2016,11,5100070,0.97,0.21,,,,,,,,0.17,0.09,,,
MDV    ,LLCO,2016,12,5100070,1.08,0.9,,,,,,,,0.48,0.61,,,
MDV    ,LLCO,2017,1,5100070,1.09,0.03,0.01,,,,,,,0.36,1.74,,,
MDV    ,LLCO,2017,2,5100070,1.19,0.16,,,,,,,,,0.21,,,
MDV    ,LLCO,2017,3,5100070,0.97,1.01,,,,,,,,,0.23,,,
MDV    ,LLCO,2017,4,5100070,3.54,0.7,,0.02,,,,,,,0.61,,,
MDV    ,LLCO,2017,5,5100070,1.05,0.47,,,,,,,,,0.19,,,
MDV    ,LLCO,2017,6,5100070,0.62,0.08,,,,,,,,0.02,0.35,,,
MDV    ,LLCO,2017,7,5100070,0.84,0.14,,,,,,,,0.1,0.17,,,
MDV    ,LLCO,2017,8,5100070,0.66,0.2,,,,,,,,,0.07,,,
MDV    ,LLCO,2018,1,5100070,,0.11,0.03,0.01,,,,,,1.24,0.58,,,
MDV    ,LLCO,2018,4,5100070,8.36,0.28,0.2,,,,,,,0.07,4.96,,,
MDV    ,LLCO,2018,5,5100070,0.35,0.04,,,,,,,,0.07,0.05,,,
MDV    ,LLCO,2018,6,5100070,17.81,0.94,0.28,,,,,,,0.9,1.09,,,
MDV    ,LLCO,2018,7,5100070,3.23,0.32,0.1,,,,,,,0.11,0.64,,,
MDV    ,LLCO,2018,8,5100070,2.28,0.18,,,,,,,,0.12,0.24,,,
MDV    ,LLCO,2018,10,5100070,0.33,0.12,,,,,,,,,0.15,,,
MDV    ,LLCO,2019,3,5100070,1.94,1.15,,,,,,,,0.08,0.39,,,
MDV    ,LLCO,2019,4,5100070,1.07,0.05,,,,,,,,,0.14,,,
MDV    ,HAND,2013,2,5100071,257.9,,,,,,,,,,,,,
MDV    ,HAND,2013,3,5100071,,,,,,,,,,,,,,
MDV    ,HAND,2013,4,5100071,3.17,,,,,,,,,,,,,
MDV    ,HAND,2013,7,5100071,4,,,,,,,,,,,,,
MDV    ,HAND,2013,8,5100071,5.55,,,,,,,,,,,,,
MDV    ,HAND,2013,9,5100071,9.24,,,,,,,,,,,,,
MDV    ,HAND,2015,3,5100071,,,,,,,,,,,,,,
MDV    ,HAND,2015,4,5100071,4.42,,,,,,,,,,,,,
MDV    ,HAND,2016,4,5100071,,,,,,,,,,,,,,
MDV    ,HAND,2016,7,5100071,2.71,,,,,,,,,,,,,
MDV    ,HAND,2017,2,5100071,5.65,,,,,,,,,,,,,
MDV    ,HAND,2017,7,5100071,1.18,,,,,,,,,,,,,
MDV    ,HAND,2017,8,5100071,,,,,,,,,,,,,,
MDV    ,HAND,2017,9,5100071,,,,,,,,,,,,,,
MDV    ,HAND,2019,9,5100071,,,3.5,,,,,,,,,,,
MDV    ,HLOF,2018,4,5100071,,,,,,,,,,,,,,
MDV    ,HLOF,2019,12,5100071,2.93,,,,,,,,,,,,,
MDV    ,HLOF,2021,1,5100071,7.86,,,,,,,,,,,,,
MDV    ,HLOF,2021,8,5100071,,,,,,,,,,,,,,
MDV    ,LLCO,2013,10,5100071,0.34,0.33,,,,,,,,,0.13,,0.12,7.00E-03
MDV    ,LLCO,2014,10,5100071,0.31,0.35,,,,,,,,0.05,0.32,,,0.02
MDV    ,LLCO,2015,10,5100071,0.25,0.06,,,,,,,,,0.3,,,
MDV    ,LLCO,2017,1,5100071,1.44,0.36,,,,,,,,,,,,
MDV    ,LLCO,2017,5,5100071,0.21,,,,,,,,,,0.03,,,
MDV    ,HAND,2013,1,5100072,10.75,,,,,,,,,,,,,
MDV    ,HAND,2013,2,5100072,131.04,,0.52,,,,,,,,,,,
MDV    ,HAND,2013,3,5100072,20.37,,,,,,,,,,,,,
MDV    ,HAND,2013,4,5100072,90.88,,,,,,,,,,,,,
MDV    ,HAND,2013,5,5100072,11.15,,,,,,,,,,,,,
MDV    ,HAND,2013,6,5100072,14.17,,0.73,,,,,,,,,,,
MDV    ,HAND,2013,7,5100072,12.6,,,,,,,,,,,,,
MDV    ,HAND,2013,8,5100072,5.63,,,,,,,,,,,,,
MDV    ,HAND,2013,9,5100072,45.84,,,,,,,,,,,,,
MDV    ,HAND,2013,10,5100072,67.36,,,,,,,,,,,,,
MDV    ,HAND,2013,11,5100072,70.97,,,,,,,,,,,,,
MDV    ,HAND,2013,12,5100072,68.86,,,,,,,,,,,,,
MDV    ,HAND,2014,1,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2014,3,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2014,4,5100072,4.33,,,,,,,,,,,,,
MDV    ,HAND,2014,5,5100072,6.46,,,,,,,,,,,,,
MDV    ,HAND,2014,7,5100072,1.29,,,,,,,,,,,,,
MDV    ,HAND,2014,11,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2015,4,5100072,30.35,,,,,,,,,,,,,
MDV    ,HAND,2015,7,5100072,5.32,,,,,,,,,,,,,
MDV    ,HAND,2015,12,5100072,3,,,,,,,,,,,,,
MDV    ,HAND,2016,3,5100072,5.81,,,,,,,,,,,,,
MDV    ,HAND,2016,4,5100072,15.23,,,,,,,,,,,,,
MDV    ,HAND,2017,3,5100072,19.75,,,,,,,,,,,,,
MDV    ,HAND,2017,4,5100072,17.02,,,,,,,,,,,,,
MDV    ,HAND,2017,5,5100072,5.62,,,,,,,,,,,,,
MDV    ,HAND,2017,7,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2017,8,5100072,2.04,,,,,,,,,,,,,
MDV    ,HAND,2017,9,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2017,10,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2018,7,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2019,6,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2019,8,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2019,10,5100072,0.87,,,,,,,,,,,,,
MDV    ,HAND,2021,4,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2022,4,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2022,11,5100072,5.52,,,,,,,,,,,,,
MDV    ,HAND,2023,6,5100072,3.83,,,,,,,,,,,,,
MDV    ,HLOF,2018,1,5100072,2.15,,,,,,,,,,,,,
MDV    ,HLOF,2018,8,5100072,,,,,,,,,,,,,,
MDV    ,HLOF,2019,7,5100072,,,,,,,,,,,,,,
MDV    ,HLOF,2020,3,5100072,10.82,,,,,,,,,,,,,
MDV    ,HLOF,2020,9,5100072,,,,,,,,,,,,,,
MDV    ,HLOF,2020,11,5100072,14.25,,,,,,,,,,,,,
MDV    ,HLOF,2021,4,5100072,,,,,,,,,,,,,,
MDV    ,HLOF,2021,5,5100072,,,,,,,,,,,,,,
MDV    ,HLOF,2021,8,5100072,7.9,,,,,,,,,,,,,
MDV    ,HLOF,2021,11,5100072,2.43,,,,,,,,,,,,,
MDV    ,HLOF,2022,1,5100072,13.43,,,,,,,,,,,,,
MDV    ,HLOF,2022,2,5100072,,,,,,,,,,,,,,
MDV    ,HLOF,2022,11,5100072,,,,,,,,,,,,,,
MDV    ,HLOF,2023,6,5100072,6.18,,,,,,,,,,,,,
MDV    ,HLOF,2023,8,5100072,6.26,,,,,,,,,,,,,
MDV    ,HLOF,2023,11,5100072,12.86,,,,,,,,,,,,,
MDV    ,TROL,2013,1,5100072,,,8.36,,,,,,,,,,,
MDV    ,TROL,2013,4,5100072,,,2.91,,,,,,,,,,,
MDV    ,TROL,2013,9,5100072,,,1.6,,,,,,,,0.08,,,
MDV    ,TROL,2013,10,5100072,0.02,,0.68,,,,,,,,,,,
MDV    ,TROL,2013,11,5100072,,,2.91,,,,,,,,,,,
MDV    ,TROL,2013,12,5100072,1.98,,2.93,,,,,,,,,,,
MDV    ,TROL,2014,8,5100072,,,,,,,,,,,,,,
MDV    ,HAND,2013,1,5100073,26.09,,,,,,,,,,,,,
MDV    ,HAND,2013,2,5100073,49.86,,2.25,,,,,,,,,,,
MDV    ,HAND,2013,3,5100073,25.24,,,,,,,,,,,,,
MDV    ,HAND,2013,4,5100073,92.73,,,,,,,,,,,,,
MDV    ,HAND,2013,5,5100073,28.79,,,,,,,,,,,,,
MDV    ,HAND,2013,6,5100073,17.14,,,,,,,,,,,,,
MDV    ,HAND,2013,7,5100073,23.21,,2.02,,,,,,,,,,,
MDV    ,HAND,2013,8,5100073,19.6,,11.2,,,,,,,,,,,
MDV    ,HAND,2013,9,5100073,1.85,,8.91,,,,,,,,,,,
MDV    ,HAND,2013,10,5100073,15.41,,,,,,,,,,,,,
MDV    ,HAND,2013,11,5100073,9.94,,,,,,,,,,,,,
MDV    ,HAND,2013,12,5100073,4.36,,,,,,,,,,,,,
MDV    ,HAND,2014,1,5100073,25.68,,,,,,,,,,,,,
MDV    ,HAND,2014,2,5100073,16.19,,,,,,,,,,,,,
MDV    ,HAND,2014,3,5100073,11,,,,,,,,,,,,,
MDV    ,HAND,2014,4,5100073,167.15,,,,,,,,,,,,,
MDV    ,HAND,2014,5,5100073,27.86,,,,,,,,,,,,,
MDV    ,HAND,2014,6,5100073,25.54,,,,,,,,,,,,,
MDV    ,HAND,2014,7,5100073,,,,,,,,,,,,,,
MDV    ,HAND,2014,8,5100073,2.44,,5.82,,,,,,,,,,,
MDV    ,HAND,2014,9,5100073,10.23,,,,,,,,,,,,,
MDV    ,HAND,2014,10,5100073,4.09,,,,,,,,,,,,,
MDV    ,HAND,2014,11,5100073,,,,,,,,,,,,,,
MDV    ,HAND,2015,2,5100073,6.92,,,,,,,,,,,,,
MDV    ,HAND,2015,3,5100073,15.57,5.43,,,,,,,,,,,,
MDV    ,HAND,2015,4,5100073,329.18,9.39,1.33,,,,,,,,,,0.24,0.24
MDV    ,HAND,2015,5,5100073,15.83,,2.03,,,,,,,,,,,
MDV    ,HAND,2015,6,5100073,9.31,,,,,,,,,,,,,
MDV    ,HAND,2015,7,5100073,7.95,,,,,,,,,,,,,
MDV    ,HAND,2015,8,5100073,1.24,,,,,,,,,,,,,
MDV    ,HAND,2015,9,5100073,3.72,,,,,,,,,,,,,
MDV    ,HAND,2015,10,5100073,11.93,,,,,,,,,,,,,
MDV    ,HAND,2015,11,5100073,3.47,,,,,,,,,,,,,
MDV    ,HAND,2016,1,5100073,52.56,,,,,,,0.06,,,,,,
MDV    ,HAND,2016,2,5100073,134.22,,,,,,,,,,,,,
MDV    ,HAND,2016,3,5100073,197.13,,,,,,0.33,0.35,,,,,,
MDV    ,HAND,2016,4,5100073,388.96,7.42,0.12,,,,2.91,,,,,,,
MDV    ,HAND,2016,5,5100073,124.99,,,,,,,,,,,,,
MDV    ,HAND,2016,6,5100073,6.51,,,,,,,,,,,,,
MDV    ,HAND,2016,7,5100073,13.26,,0.02,,,,,3.97E-03,,,,,,1.44E-03
MDV    ,HAND,2016,8,5100073,47.52,,,,,,,,,,,,,
MDV    ,HAND,2016,9,5100073,87.69,30.75,,,,,,,,,,,,
MDV    ,HAND,2016,10,5100073,475.33,,,,,,,,,,,,,
MDV    ,HAND,2016,11,5100073,20.44,,,,,,,,,,,,,
MDV    ,HAND,2016,12,5100073,32.08,,12.6,,,,,,,,,,,
