BigCellID,BigCellTypeID,x,y
283,1,-178.5,-12.5
284,1,-178.5,-13.5
285,1,-178.5,-14.5
286,1,-178.5,-15.5
287,1,-178.5,-16.5
288,1,-178.5,-17.5
289,1,-178.5,-18.5
290,1,-178.5,-19.5
291,1,-178.5,-20.5
292,1,-178.5,-21.5
293,1,-178.5,-22.5
294,1,-178.5,-23.5
295,1,-178.5,-24.5
296,1,-178.5,-25.5
297,1,-178.5,-26.5
298,1,-178.5,-27.5
299,1,-178.5,-28.5
300,1,-178.5,-29.5
301,1,-178.5,-30.5
302,1,-178.5,-31.5
303,1,-178.5,-32.5
304,1,-178.5,-33.5
305,1,-178.5,-34.5
306,1,-178.5,-35.5
307,1,-178.5,-36.5
308,1,-178.5,-37.5
309,1,-178.5,-38.5
310,1,-178.5,-39.5
311,1,-178.5,-40.5
312,1,-178.5,-41.5
313,1,-178.5,-42.5
314,1,-178.5,-43.5
315,1,-178.5,-44.5
316,1,-178.5,-45.5
317,1,-178.5,-46.5
318,1,-178.5,-47.5
319,1,-178.5,-48.5
320,1,-178.5,-49.5
321,1,-178.5,-50.5
322,1,-178.5,-51.5
323,1,-178.5,-52.5
324,1,-178.5,-53.5
325,1,-178.5,-54.5
326,1,-178.5,-55.5
327,1,-178.5,-56.5
328,1,-178.5,-57.5
329,1,-178.5,-58.5
330,1,-178.5,-59.5
331,1,-178.5,-60.5
332,1,-178.5,-61.5
333,1,-178.5,-62.5
334,1,-178.5,-63.5
335,1,-178.5,-64.5
336,1,-178.5,-65.5
337,1,-178.5,-66.5
338,1,-178.5,-67.5
339,1,-178.5,-68.5
340,1,-178.5,-69.5
341,1,-178.5,-70.5
342,1,-178.5,-71.5
343,1,-178.5,-72.5
344,1,-178.5,-73.5
345,1,-178.5,-74.5
346,1,-178.5,-75.5
347,1,-178.5,-76.5
348,1,-178.5,-77.5
349,1,-178.5,-78.5
350,1,-178.5,-79.5
351,1,-178.5,-80.5
352,1,-178.5,-81.5
353,1,-178.5,-82.5
354,1,-178.5,-83.5
355,1,-178.5,-84.5
380,1,-177.5,70.5
381,1,-177.5,69.5
382,1,-177.5,68.5
385,1,-177.5,65.5
386,1,-177.5,64.5
387,1,-177.5,63.5
388,1,-177.5,62.5
389,1,-177.5,61.5
390,1,-177.5,60.5
391,1,-177.5,59.5
392,1,-177.5,58.5
393,1,-177.5,57.5
394,1,-177.5,56.5
395,1,-177.5,55.5
396,1,-177.5,54.5
397,1,-177.5,53.5
398,1,-177.5,52.5
399,1,-177.5,51.5
400,1,-177.5,50.5
401,1,-177.5,49.5
402,1,-177.5,48.5
403,1,-177.5,47.5
404,1,-177.5,46.5
405,1,-177.5,45.5
406,1,-177.5,44.5
407,1,-177.5,43.5
408,1,-177.5,42.5
409,1,-177.5,41.5
410,1,-177.5,40.5
411,1,-177.5,39.5
412,1,-177.5,38.5
413,1,-177.5,37.5
414,1,-177.5,36.5
415,1,-177.5,35.5
416,1,-177.5,34.5
417,1,-177.5,33.5
418,1,-177.5,32.5
419,1,-177.5,31.5
420,1,-177.5,30.5
421,1,-177.5,29.5
422,1,-177.5,28.5
423,1,-177.5,27.5
424,1,-177.5,26.5
425,1,-177.5,25.5
426,1,-177.5,24.5
427,1,-177.5,23.5
428,1,-177.5,22.5
429,1,-177.5,21.5
430,1,-177.5,20.5
431,1,-177.5,19.5
432,1,-177.5,18.5
433,1,-177.5,17.5
434,1,-177.5,16.5
435,1,-177.5,15.5
436,1,-177.5,14.5
