Country,Area,Year,Sector,Gear,SpeciesCode,Catch
AUSTRALIA,Eastern Indian Ocean,1976,ART,UNCL,KGX,110
AUSTRALIA,Eastern Indian Ocean,1976,ART,UNCL,LOT,3
AUSTRALIA,Eastern Indian Ocean,1976,ART,UNCL,SBF,7658
AUSTRALIA,Eastern Indian Ocean,1976,ART,UNCL,SKH,3219
AUSTRALIA,Eastern Indian Ocean,1976,ART,UNCL,SKJ,404
AUSTRALIA,Eastern Indian Ocean,1976,ART,UNCL,TUN,16
AUSTRALIA,Eastern Indian Ocean,1976,ART,UNCL,YFT,2
AUSTRALIA,Eastern Indian Ocean,1977,ART,UNCL,KGX,90
AUSTRALIA,Eastern Indian Ocean,1977,ART,UNCL,LOT,2
AUSTRALIA,Eastern Indian Ocean,1977,ART,UNCL,SBF,9598
AUSTRALIA,Eastern Indian Ocean,1977,ART,UNCL,SKH,5434
AUSTRALIA,Eastern Indian Ocean,1977,ART,UNCL,SKJ,25
AUSTRALIA,Eastern Indian Ocean,1977,ART,UNCL,TUN,21
AUSTRALIA,Eastern Indian Ocean,1977,ART,UNCL,YFT,3
AUSTRALIA,Eastern Indian Ocean,1978,ART,UNCL,KGX,127
AUSTRALIA,Eastern Indian Ocean,1978,ART,UNCL,LOT,10
AUSTRALIA,Eastern Indian Ocean,1978,ART,UNCL,SBF,6916
AUSTRALIA,Eastern Indian Ocean,1978,ART,UNCL,SKH,6460
AUSTRALIA,Eastern Indian Ocean,1978,ART,UNCL,SKJ,49
AUSTRALIA,Eastern Indian Ocean,1978,ART,UNCL,TUN,8
AUSTRALIA,Eastern Indian Ocean,1978,ART,UNCL,YFT,15
AUSTRALIA,Eastern Indian Ocean,1979,ART,UNCL,KGX,146
AUSTRALIA,Eastern Indian Ocean,1979,ART,UNCL,LOT,19
AUSTRALIA,Eastern Indian Ocean,1979,ART,UNCL,SBF,6587
AUSTRALIA,Eastern Indian Ocean,1979,ART,UNCL,SKH,5966
AUSTRALIA,Eastern Indian Ocean,1979,ART,UNCL,SKJ,58
AUSTRALIA,Eastern Indian Ocean,1979,ART,UNCL,TUN,9
AUSTRALIA,Eastern Indian Ocean,1979,ART,UNCL,YFT,28
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,ALB,3
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,KGX,139
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,LOT,5
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,SBF,9677
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,SKH,7522
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,SKJ,37
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,TUN,1
AUSTRALIA,Eastern Indian Ocean,1980,ART,UNCL,YFT,34
AUSTRALIA,Eastern Indian Ocean,1981,IND,BB,SBF,3238
AUSTRALIA,Eastern Indian Ocean,1981,IND,PS,SBF,9714
AUSTRALIA,Eastern Indian Ocean,1981,IND,PS,SKJ,43
AUSTRALIA,Eastern Indian Ocean,1981,IND,PS,TUN,1
AUSTRALIA,Eastern Indian Ocean,1981,IND,PS,YFT,20
AUSTRALIA,Eastern Indian Ocean,1981,ART,TROL,KGX,151
AUSTRALIA,Eastern Indian Ocean,1981,ART,TROL,LOT,5
AUSTRALIA,Eastern Indian Ocean,1982,IND,BB,ALB,392
