FishingEntity,BigCellID,FishingEntityID,CountryGroupID
Bahrain,43449,9,2
Bahrain,43450,9,2
Bahrain,43451,9,2
Bahrain,43452,9,2
Bahrain,43453,9,2
Bahrain,43454,9,2
Bahrain,43455,9,2
Bahrain,43456,9,2
Bahrain,43457,9,2
Bahrain,43458,9,2
Bahrain,43459,9,2
Bahrain,43460,9,2
Bahrain,43461,9,2
Bahrain,43625,9,2
Bahrain,43626,9,2
Bahrain,43627,9,2
Bahrain,43628,9,2
Bahrain,43629,9,2
Bahrain,43630,9,2
Bahrain,43631,9,2
Bahrain,43632,9,2
Bahrain,43633,9,2
Bahrain,43634,9,2
Bahrain,43635,9,2
Bahrain,43636,9,2
Bahrain,43637,9,2
Bahrain,43638,9,2
Bahrain,43639,9,2
Bahrain,43640,9,2
Bahrain,43641,9,2
Bahrain,43805,9,2
Bahrain,43806,9,2
Bahrain,43807,9,2
Bahrain,43808,9,2
Bahrain,43809,9,2
Bahrain,43810,9,2
Bahrain,43811,9,2
Bahrain,43812,9,2
Bahrain,43813,9,2
Bahrain,43814,9,2
Bahrain,43815,9,2
Bahrain,43816,9,2
Bahrain,43817,9,2
Bahrain,43818,9,2
Bahrain,43819,9,2
Bahrain,43820,9,2
Bahrain,43821,9,2
Bahrain,43985,9,2
Bahrain,43986,9,2
Bahrain,43987,9,2
Bahrain,43988,9,2
Bahrain,43989,9,2
Bahrain,43990,9,2
Bahrain,43991,9,2
Bahrain,43992,9,2
Bahrain,43993,9,2
Bahrain,43994,9,2
Bahrain,43995,9,2
Bahrain,43996,9,2
Bahrain,43997,9,2
Bahrain,43998,9,2
Bahrain,43999,9,2
Bahrain,44000,9,2
Bahrain,44001,9,2
Bahrain,44165,9,2
Bahrain,44166,9,2
Bahrain,44167,9,2
Bahrain,44168,9,2
Bahrain,44169,9,2
Bahrain,44170,9,2
Bahrain,44171,9,2
Bahrain,44172,9,2
Bahrain,44173,9,2
Bahrain,44174,9,2
Bahrain,44175,9,2
Bahrain,44176,9,2
Bahrain,44345,9,2
Bahrain,44346,9,2
Bahrain,44347,9,2
Bahrain,44348,9,2
Bahrain,44349,9,2
Bahrain,44350,9,2
Bahrain,44351,9,2
Bahrain,44352,9,2
Bahrain,44353,9,2
Bahrain,44354,9,2
Bahrain,44355,9,2
Bahrain,44356,9,2
Bahrain,44526,9,2
Bahrain,44527,9,2
Bahrain,44528,9,2
Bahrain,44529,9,2
Bahrain,44530,9,2
Bahrain,44531,9,2
Bahrain,44532,9,2
Bahrain,44533,9,2
Bahrain,44534,9,2
Bahrain,44535,9,2
Bahrain,44536,9,2
Bahrain,44706,9,2
Bahrain,44707,9,2
Bahrain,44708,9,2
Bahrain,44709,9,2
Bahrain,44710,9,2
Bahrain,44711,9,2
Bahrain,44712,9,2
Bahrain,44713,9,2
Bahrain,44714,9,2
Bahrain,44715,9,2
Bahrain,44716,9,2
Bahrain,44888,9,2
Bahrain,44889,9,2
Bahrain,44890,9,2
Bahrain,44891,9,2
Bahrain,44892,9,2
Bahrain,44893,9,2
Bahrain,44894,9,2
Bahrain,44895,9,2
Bahrain,44896,9,2
Bahrain,45067,9,2
Bahrain,45068,9,2
Bahrain,45069,9,2
Bahrain,45070,9,2
Bahrain,45071,9,2
Bahrain,45249,9,2
Bahrain,45250,9,2
Bahrain,45251,9,2
Bahrain,45428,9,2
Bahrain,45429,9,2
Bahrain,45430,9,2
Bahrain,45431,9,2
Bahrain,66361,9,2
Bahrain,66362,9,2
Bahrain,66363,9,2
Bahrain,66398,9,2
Bahrain,66399,9,2
Bahrain,66400,9,2
Bahrain,66436,9,2
Bahrain,66468,9,2
Bahrain,66469,9,2
Bahrain,66470,9,2
Bahrain,66471,9,2
Bahrain,66472,9,2
Bahrain,66473,9,2
Bahrain,66505,9,2
Bahrain,66506,9,2
Bahrain,66507,9,2
Bahrain,66508,9,2
Bahrain,66509,9,2
Bahrain,66541,9,2
Bahrain,66542,9,2
Bahrain,66543,9,2
Bahrain,66544,9,2
Bahrain,66545,9,2
Bahrain,66577,9,2
Bahrain,66578,9,2
Bahrain,66579,9,2
Bahrain,66580,9,2
Bahrain,66614,9,2
Bahrain,66615,9,2
Bahrain,68161,9,2
Bahrain,68162,9,2
Bahrain,68163,9,2
Bahrain,68198,9,2
Bahrain,68199,9,2
Bahrain,68200,9,2
Bahrain,68232,9,2
Bahrain,68233,9,2
Bahrain,68234,9,2
Bahrain,68235,9,2
Bahrain,68236,9,2
Bahrain,68237,9,2
Bahrain,68269,9,2
Bahrain,68270,9,2
Bahrain,68271,9,2
Bahrain,68272,9,2
Bahrain,68273,9,2
Bahrain,68306,9,2
Bahrain,68307,9,2
Bahrain,69073,9,2
Bahrain,69074,9,2
Bahrain,69091,9,2
Bahrain,69092,9,2
Bahrain,69108,9,2
Bahrain,69109,9,2
Bahrain,69110,9,2
Bahrain,69111,9,2
Bahrain,69127,9,2
Bahrain,69128,9,2
Bahrain,69129,9,2
Bahrain,69145,9,2
Bahrain,69146,9,2
Bahrain,69523,9,2
Bahrain,69524,9,2
Bahrain,69540,9,2
Bahrain,69541,9,2
Bahrain,69542,9,2
Bahrain,69543,9,2
Bahrain,69559,9,2
Bahrain,69560,9,2
Bahrain,69561,9,2
Bahrain,69763,9,2
Bahrain,69743,9,2
Bahrain,69744,9,2
Bahrain,69761,9,2
Bahrain,69762,9,2
Bahrain,69745,9,2
India,66361,82,2
India,66362,82,2
India,66363,82,2
India,66367,82,2
India,66368,82,2
India,66369,82,2
India,66398,82,2
India,66399,82,2
India,66400,82,2
India,66402,82,2
India,66403,82,2
India,66404,82,2
India,66405,82,2
India,66436,82,2
India,66437,82,2
India,66438,82,2
India,66439,82,2
India,66440,82,2
India,66441,82,2
India,66468,82,2
India,66469,82,2
India,66470,82,2
India,66471,82,2
India,66472,82,2
India,66473,82,2
India,66474,82,2
India,66475,82,2
India,66476,82,2
India,66477,82,2
India,66505,82,2
India,66506,82,2
India,66507,82,2
India,66508,82,2
India,66509,82,2
India,66510,82,2
India,66511,82,2
India,66512,82,2
India,66513,82,2
India,66541,82,2
India,66542,82,2
India,66543,82,2
India,66544,82,2
India,66545,82,2
India,66546,82,2
India,66547,82,2
India,66548,82,2
India,66549,82,2
India,66577,82,2
India,66578,82,2
India,66579,82,2
India,66580,82,2
India,66581,82,2
India,66582,82,2
India,66583,82,2
India,66584,82,2
India,66585,82,2
India,66614,82,2
India,66615,82,2
India,66616,82,2
India,66617,82,2
India,66618,82,2
India,66619,82,2
India,66620,82,2
India,66621,82,2
India,66652,82,2
India,66653,82,2
India,66654,82,2
India,66655,82,2
India,66656,82,2
India,66657,82,2
India,68161,82,2
India,68162,82,2
India,68163,82,2
India,68167,82,2
India,68168,82,2
India,68169,82,2
India,68198,82,2
India,68199,82,2
India,68200,82,2
India,68201,82,2
India,68202,82,2
India,68203,82,2
India,68204,82,2
India,68205,82,2
India,68232,82,2
India,68233,82,2
India,68234,82,2
India,68235,82,2
India,68236,82,2
India,68237,82,2
India,68238,82,2
India,68239,82,2
India,68240,82,2
India,68241,82,2
India,68269,82,2
India,68270,82,2
India,68271,82,2
India,68272,82,2
India,68273,82,2
India,68274,82,2
India,68275,82,2
India,68276,82,2
India,68277,82,2
India,68306,82,2
India,68307,82,2
India,68308,82,2
India,68309,82,2
India,68310,82,2
India,68311,82,2
India,68312,82,2
India,68313,82,2
India,69073,82,2
India,69074,82,2
India,69076,82,2
India,69077,82,2
India,69091,82,2
India,69092,82,2
India,69093,82,2
India,69094,82,2
India,69095,82,2
India,69108,82,2
India,69109,82,2
India,69110,82,2
India,69111,82,2
India,69112,82,2
India,69113,82,2
India,69127,82,2
India,69128,82,2
India,69129,82,2
India,69130,82,2
India,69131,82,2
India,69145,82,2
India,69146,82,2
India,69147,82,2
India,69148,82,2
India,69149,82,2
India,69523,82,2
India,69524,82,2
India,69526,82,2
India,69527,82,2
India,69540,82,2
India,69541,82,2
India,69542,82,2
India,69543,82,2
India,69544,82,2
India,69545,82,2
India,69559,82,2
India,69560,82,2
India,69561,82,2
India,69562,82,2
India,69563,82,2
India,69743,82,2
India,69744,82,2
India,69745,82,2
India,69761,82,2
India,69762,82,2
India,69763,82,2
India,69779,82,2
India,69780,82,2
India,69781,82,2
India,38944,82,2
India,38945,82,2
India,38765,82,2
India,38764,82,2
India,38946,82,2
India,38766,82,2
India,39488,82,2
India,39129,82,2
India,39309,82,2
India,39308,82,2
India,39128,82,2
India,39489,82,2
India,39700,82,2
India,39699,82,2
India,39519,82,2
India,39520,82,2
India,39518,82,2
India,39698,82,2
India,39517,82,2
India,39696,82,2
India,39516,82,2
India,39697,82,2
India,39515,82,2
India,39695,82,2
India,39694,82,2
India,39514,82,2
India,39704,82,2
India,39884,82,2
India,39705,82,2
India,39885,82,2
India,39703,82,2
India,39883,82,2
India,39882,82,2
India,39702,82,2
India,39880,82,2
India,39881,82,2
India,39701,82,2
India,39879,82,2
India,39878,82,2
India,39876,82,2
India,39877,82,2
India,39875,82,2
India,39874,82,2
India,39693,82,2
India,39873,82,2
India,39672,82,2
India,39673,82,2
India,39853,82,2
India,39852,82,2
India,39872,82,2
India,39855,82,2
India,39854,82,2
India,40065,82,2
India,40064,82,2
India,40063,82,2
India,40062,82,2
India,40060,82,2
India,40061,82,2
India,40059,82,2
India,40058,82,2
India,40056,82,2
India,40057,82,2
India,40055,82,2
India,40054,82,2
India,40053,82,2
India,40051,82,2
India,40052,82,2
India,40050,82,2
India,40245,82,2
India,40425,82,2
India,40424,82,2
India,40244,82,2
India,40243,82,2
India,40423,82,2
India,40422,82,2
India,40242,82,2
India,40241,82,2
India,40421,82,2
India,40240,82,2
India,40420,82,2
India,40239,82,2
India,40419,82,2
India,40238,82,2
India,40418,82,2
India,40237,82,2
India,40416,82,2
India,40236,82,2
India,40417,82,2
India,40235,82,2
India,40415,82,2
India,40234,82,2
India,40414,82,2
India,40233,82,2
India,40413,82,2
India,40232,82,2
India,40412,82,2
India,40411,82,2
India,40231,82,2
India,40230,82,2
India,40410,82,2
India,40218,82,2
India,40398,82,2
India,40039,82,2
India,40220,82,2
India,40400,82,2
India,40399,82,2
India,40219,82,2
India,40217,82,2
India,40037,82,2
India,40038,82,2
India,40216,82,2
India,40036,82,2
India,40604,82,2
India,40605,82,2
India,40603,82,2
India,40602,82,2
India,40601,82,2
India,40600,82,2
India,40599,82,2
India,40598,82,2
India,40597,82,2
India,40596,82,2
India,40595,82,2
India,40594,82,2
India,40593,82,2
India,40592,82,2
India,40591,82,2
India,40590,82,2
India,40409,82,2
India,40589,82,2
India,40578,82,2
India,40588,82,2
India,40577,82,2
India,40785,82,2
India,40784,82,2
India,40783,82,2
India,40782,82,2
India,40781,82,2
India,40780,82,2
India,40779,82,2
India,40778,82,2
India,40776,82,2
India,40777,82,2
India,40775,82,2
India,40774,82,2
India,40773,82,2
India,40772,82,2
India,40771,82,2
India,40770,82,2
India,40769,82,2
India,40767,82,2
India,40768,82,2
India,40757,82,2
India,40758,82,2
India,41145,82,2
India,40964,82,2
India,40965,82,2
India,41143,82,2
India,40963,82,2
India,41144,82,2
India,40962,82,2
India,41142,82,2
India,41140,82,2
India,41141,82,2
India,40961,82,2
India,40960,82,2
India,40959,82,2
India,41139,82,2
India,40958,82,2
India,41138,82,2
India,41136,82,2
India,40956,82,2
India,40957,82,2
India,41137,82,2
India,41135,82,2
India,40955,82,2
India,40954,82,2
India,41134,82,2
India,41133,82,2
India,40953,82,2
India,41132,82,2
India,40952,82,2
India,40951,82,2
India,41131,82,2
India,41130,82,2
India,40950,82,2
India,40949,82,2
India,41129,82,2
India,40947,82,2
India,41127,82,2
India,41128,82,2
India,40948,82,2
India,41126,82,2
India,40946,82,2
India,40939,82,2
India,41118,82,2
India,40938,82,2
India,40760,82,2
India,40940,82,2
