FishingEntityID,CountryGroupID,GearGroupID,Layer3GearID
79,11,302,33
79,11,302,27
79,11,302,34
79,11,302,68
79,11,302,8
79,11,302,32
81,13,302,39
81,13,302,24
81,13,302,22
81,13,302,29
81,13,302,28
81,13,302,35
81,13,302,38
81,13,302,23
81,13,302,66
81,13,302,25
81,13,302,9
81,13,302,37
81,13,302,69
81,13,302,67
81,13,302,36
81,13,302,30
81,13,302,26
81,13,302,31
81,13,302,33
81,13,302,27
81,13,302,34
81,13,302,68
81,13,302,8
81,13,302,32
90,4,302,39
90,4,302,24
90,4,302,22
90,4,302,29
90,4,302,28
90,4,302,35
90,4,302,38
90,4,302,23
90,4,302,66
90,4,302,25
90,4,302,9
90,4,302,37
90,4,302,69
90,4,302,67
90,4,302,36
90,4,302,30
90,4,302,26
90,4,302,31
90,4,302,33
90,4,302,27
90,4,302,34
90,4,302,68
90,4,302,8
90,4,302,32
91,5,302,39
91,5,302,24
91,5,302,22
91,5,302,29
91,5,302,28
91,5,302,35
91,5,302,38
91,5,302,23
91,5,302,66
91,5,302,25
91,5,302,9
91,5,302,37
91,5,302,69
91,5,302,67
91,5,302,36
91,5,302,30
91,5,302,26
91,5,302,31
91,5,302,33
91,5,302,27
91,5,302,34
91,5,302,68
91,5,302,8
91,5,302,32
95,5,302,39
95,5,302,24
95,5,302,22
95,5,302,29
95,5,302,28
95,5,302,35
95,5,302,38
95,5,302,23
95,5,302,66
95,5,302,25
95,5,302,9
95,5,302,37
95,5,302,69
95,5,302,67
95,5,302,36
95,5,302,30
95,5,302,26
95,5,302,31
95,5,302,33
95,5,302,27
95,5,302,34
95,5,302,68
95,5,302,8
95,5,302,32
99,1,302,39
99,1,302,24
99,1,302,22
99,1,302,29
99,1,302,28
99,1,302,35
99,1,302,38
99,1,302,23
99,1,302,66
99,1,302,25
99,1,302,9
99,1,302,37
99,1,302,69
99,1,302,67
99,1,302,36
99,1,302,30
99,1,302,26
99,1,302,31
99,1,302,33
99,1,302,27
99,1,302,34
99,1,302,68
99,1,302,8
99,1,302,32
100,1,302,39
100,1,302,24
100,1,302,22
100,1,302,29
100,1,302,28
100,1,302,35
100,1,302,38
100,1,302,23
100,1,302,66
100,1,302,25
100,1,302,9
100,1,302,37
100,1,302,69
100,1,302,67
100,1,302,36
100,1,302,30
100,1,302,26
100,1,302,31
100,1,302,33
100,1,302,27
100,1,302,34
100,1,302,68
100,1,302,8
100,1,302,32
113,1,302,39
113,1,302,24
113,1,302,22
113,1,302,29
113,1,302,28
113,1,302,35
113,1,302,38
113,1,302,23
113,1,302,66
113,1,302,25
113,1,302,9
113,1,302,37
113,1,302,69
113,1,302,67
113,1,302,36
113,1,302,30
113,1,302,26
113,1,302,31
113,1,302,33
113,1,302,27
113,1,302,34
113,1,302,68
113,1,302,8
113,1,302,32
108,1,302,39
108,1,302,24
108,1,302,22
108,1,302,29
108,1,302,28
108,1,302,35
108,1,302,38
108,1,302,23
108,1,302,66
108,1,302,25
108,1,302,9
108,1,302,37
108,1,302,69
108,1,302,67
108,1,302,36
108,1,302,30
108,1,302,26
108,1,302,31
108,1,302,33
108,1,302,27
108,1,302,34
108,1,302,68
108,1,302,8
108,1,302,32
110,8,302,39
110,8,302,24
110,8,302,22
110,8,302,29
110,8,302,28
110,8,302,35
110,8,302,38
110,8,302,23
110,8,302,66
110,8,302,25
110,8,302,9
110,8,302,37
110,8,302,69
110,8,302,67
110,8,302,36
110,8,302,30
110,8,302,26
110,8,302,31
110,8,302,33
110,8,302,27
110,8,302,34
110,8,302,68
110,8,302,8
110,8,302,32
3000,13,302,39
3000,13,302,24
3000,13,302,22
3000,13,302,29
3000,13,302,28
3000,13,302,35
3000,13,302,38
