SquareTypeCode,QuadID,Lon,Lat,BigCellTypeID,x,y
5x5,3,20,20,2,-22.5,-22.5
5x5,3,25,20,2,-27.5,-22.5
5x5,3,30,20,2,-32.5,-22.5
5x5,3,35,20,2,-37.5,-22.5
5x5,3,40,20,2,-42.5,-22.5
5x5,3,45,20,2,-47.5,-22.5
5x5,3,50,20,2,-52.5,-22.5
5x5,3,55,20,2,-57.5,-22.5
5x5,3,0,25,2,-2.5,-27.5
5x5,3,5,25,2,-7.5,-27.5
5x5,3,10,25,2,-12.5,-27.5
5x5,3,15,25,2,-17.5,-27.5
5x5,3,20,25,2,-22.5,-27.5
5x5,3,25,25,2,-27.5,-27.5
5x5,3,30,25,2,-32.5,-27.5
5x5,3,35,25,2,-37.5,-27.5
5x5,3,40,25,2,-42.5,-27.5
5x5,3,45,25,2,-47.5,-27.5
5x5,3,50,25,2,-52.5,-27.5
5x5,3,60,25,2,-62.5,-27.5
5x5,3,0,30,2,-2.5,-32.5
5x5,3,5,30,2,-7.5,-32.5
5x5,3,10,30,2,-12.5,-32.5
5x5,3,15,30,2,-17.5,-32.5
5x5,3,20,30,2,-22.5,-32.5
5x5,3,25,30,2,-27.5,-32.5
5x5,3,30,30,2,-32.5,-32.5
5x5,3,35,30,2,-37.5,-32.5
5x5,3,40,30,2,-42.5,-32.5
5x5,3,45,30,2,-47.5,-32.5
5x5,3,50,30,2,-52.5,-32.5
5x5,3,55,30,2,-57.5,-32.5
5x5,3,0,35,2,-2.5,-37.5
5x5,3,5,35,2,-7.5,-37.5
5x5,3,10,35,2,-12.5,-37.5
5x5,3,15,35,2,-17.5,-37.5
5x5,3,20,35,2,-22.5,-37.5
5x5,3,25,35,2,-27.5,-37.5
5x5,3,30,35,2,-32.5,-37.5
5x5,3,35,35,2,-37.5,-37.5
5x5,3,40,35,2,-42.5,-37.5
5x5,3,45,35,2,-47.5,-37.5
5x5,3,50,35,2,-52.5,-37.5
5x5,3,55,35,2,-57.5,-37.5
5x5,3,60,35,2,-62.5,-37.5
5x5,3,0,40,2,-2.5,-42.5
5x5,3,5,40,2,-7.5,-42.5
5x5,3,10,40,2,-12.5,-42.5
5x5,3,15,40,2,-17.5,-42.5
5x5,3,20,40,2,-22.5,-42.5
5x5,3,25,40,2,-27.5,-42.5
5x5,3,30,40,2,-32.5,-42.5
5x5,3,35,40,2,-37.5,-42.5
5x5,3,40,40,2,-42.5,-42.5
5x5,3,45,40,2,-47.5,-42.5
5x5,3,50,40,2,-52.5,-42.5
5x5,3,55,40,2,-57.5,-42.5
5x5,3,60,40,2,-62.5,-42.5
5x5,3,0,45,2,-2.5,-47.5
5x5,3,5,45,2,-7.5,-47.5
5x5,3,10,45,2,-12.5,-47.5
5x5,3,15,45,2,-17.5,-47.5
5x5,3,20,45,2,-22.5,-47.5
5x5,3,25,45,2,-27.5,-47.5
5x5,3,30,45,2,-32.5,-47.5
5x5,3,35,45,2,-37.5,-47.5
5x5,3,40,45,2,-42.5,-47.5
5x5,3,45,45,2,-47.5,-47.5
5x5,3,50,45,2,-52.5,-47.5
5x5,3,55,45,2,-57.5,-47.5
5x5,3,60,45,2,-62.5,-47.5
5x5,3,0,50,2,-2.5,-52.5
5x5,3,5,50,2,-7.5,-52.5
5x5,3,10,50,2,-12.5,-52.5
5x5,3,15,50,2,-17.5,-52.5
5x5,3,20,50,2,-22.5,-52.5
5x5,3,30,50,2,-32.5,-52.5
5x5,3,40,50,2,-42.5,-52.5
5x5,3,45,50,2,-47.5,-52.5
5x5,3,50,50,2,-52.5,-52.5
5x5,3,55,50,2,-57.5,-52.5
5x5,3,60,50,2,-62.5,-52.5
5x5,3,0,55,2,-2.5,-57.5
5x5,3,5,55,2,-7.5,-57.5
5x5,3,10,55,2,-12.5,-57.5
5x5,3,15,55,2,-17.5,-57.5
5x5,3,20,55,2,-22.5,-57.5
5x5,4,0,0,2,-2.5,2.5
5x5,4,5,0,2,-7.5,2.5
5x5,4,10,0,2,-12.5,2.5
5x5,4,15,0,2,-17.5,2.5
5x5,4,20,0,2,-22.5,2.5
5x5,4,25,0,2,-27.5,2.5
5x5,4,30,0,2,-32.5,2.5
5x5,4,35,0,2,-37.5,2.5
5x5,4,40,0,2,-42.5,2.5
5x5,4,45,0,2,-47.5,2.5
5x5,4,50,0,2,-52.5,2.5
5x5,4,55,0,2,-57.5,2.5
5x5,4,65,0,2,-67.5,2.5
5x5,4,0,5,2,-2.5,7.5
5x5,4,5,5,2,-7.5,7.5
5x5,4,10,5,2,-12.5,7.5
5x5,4,15,5,2,-17.5,7.5
5x5,4,20,5,2,-22.5,7.5
5x5,4,25,5,2,-27.5,7.5
5x5,4,30,5,2,-32.5,7.5
5x5,4,35,5,2,-37.5,7.5
5x5,4,40,5,2,-42.5,7.5
5x5,4,45,5,2,-47.5,7.5
5x5,4,50,5,2,-52.5,7.5
5x5,4,55,5,2,-57.5,7.5
5x5,4,60,5,2,-62.5,7.5
5x5,4,70,5,2,-72.5,7.5
5x5,4,75,5,2,-77.5,7.5
5x5,4,80,5,2,-82.5,7.5
5x5,4,5,10,2,-7.5,12.5
5x5,4,10,10,2,-12.5,12.5
5x5,4,15,10,2,-17.5,12.5
5x5,4,20,10,2,-22.5,12.5
5x5,4,25,10,2,-27.5,12.5
5x5,4,30,10,2,-32.5,12.5
5x5,4,35,10,2,-37.5,12.5
5x5,4,40,10,2,-42.5,12.5
5x5,4,45,10,2,-47.5,12.5
5x5,4,50,10,2,-52.5,12.5
5x5,4,55,10,2,-57.5,12.5
5x5,4,60,10,2,-62.5,12.5
5x5,4,65,10,2,-67.5,12.5
5x5,4,70,10,2,-72.5,12.5
5x5,4,75,10,2,-77.5,12.5
5x5,4,80,10,2,-82.5,12.5
5x5,4,5,15,2,-7.5,17.5
5x5,4,10,15,2,-12.5,17.5
5x5,4,15,15,2,-17.5,17.5
5x5,4,20,15,2,-22.5,17.5
5x5,4,25,15,2,-27.5,17.5
5x5,4,30,15,2,-32.5,17.5
5x5,4,35,15,2,-37.5,17.5
5x5,4,40,15,2,-42.5,17.5
5x5,4,45,15,2,-47.5,17.5
5x5,4,50,15,2,-52.5,17.5
5x5,4,55,15,2,-57.5,17.5
5x5,4,60,15,2,-62.5,17.5
5x5,4,65,15,2,-67.5,17.5
5x5,4,70,15,2,-72.5,17.5
5x5,4,75,15,2,-77.5,17.5
5x5,4,80,15,2,-82.5,17.5
5x5,4,85,15,2,-87.5,17.5
5x5,4,90,15,2,-92.5,17.5
5x5,4,95,15,2,-97.5,17.5
5x5,4,5,20,2,-7.5,22.5
5x5,4,10,20,2,-12.5,22.5
5x5,4,15,20,2,-17.5,22.5
5x5,4,20,20,2,-22.5,22.5
5x5,4,25,20,2,-27.5,22.5
5x5,4,30,20,2,-32.5,22.5
5x5,4,35,20,2,-37.5,22.5
5x5,4,40,20,2,-42.5,22.5
5x5,4,45,20,2,-47.5,22.5
5x5,4,50,20,2,-52.5,22.5
5x5,4,55,20,2,-57.5,22.5
5x5,4,60,20,2,-62.5,22.5
5x5,4,65,20,2,-67.5,22.5
5x5,4,70,20,2,-72.5,22.5
5x5,4,75,20,2,-77.5,22.5
5x5,4,80,20,2,-82.5,22.5
5x5,4,85,20,2,-87.5,22.5
5x5,4,90,20,2,-92.5,22.5
5x5,4,95,20,2,-97.5,22.5
5x5,4,5,25,2,-7.5,27.5
5x5,4,10,25,2,-12.5,27.5
5x5,4,15,25,2,-17.5,27.5
5x5,4,20,25,2,-22.5,27.5
5x5,4,25,25,2,-27.5,27.5
5x5,4,30,25,2,-32.5,27.5
5x5,4,35,25,2,-37.5,27.5
5x5,4,40,25,2,-42.5,27.5
5x5,4,45,25,2,-47.5,27.5
5x5,4,50,25,2,-52.5,27.5
5x5,4,55,25,2,-57.5,27.5
5x5,4,60,25,2,-62.5,27.5
5x5,4,65,25,2,-67.5,27.5
5x5,4,70,25,2,-72.5,27.5
5x5,4,75,25,2,-77.5,27.5
5x5,4,80,25,2,-82.5,27.5
5x5,4,85,25,2,-87.5,27.5
5x5,4,90,25,2,-92.5,27.5
5x5,4,95,25,2,-97.5,27.5
5x5,4,5,30,2,-7.5,32.5
5x5,4,10,30,2,-12.5,32.5
5x5,4,15,30,2,-17.5,32.5
5x5,4,20,30,2,-22.5,32.5
5x5,4,25,30,2,-27.5,32.5
5x5,4,30,30,2,-32.5,32.5
5x5,4,35,30,2,-37.5,32.5
5x5,4,40,30,2,-42.5,32.5
5x5,4,45,30,2,-47.5,32.5
5x5,4,50,30,2,-52.5,32.5
5x5,4,55,30,2,-57.5,32.5
5x5,4,60,30,2,-62.5,32.5
5x5,4,65,30,2,-67.5,32.5
5x5,4,70,30,2,-72.5,32.5
5x5,4,75,30,2,-77.5,32.5
5x5,4,80,30,2,-82.5,32.5
5x5,4,85,30,2,-87.5,32.5
5x5,4,90,30,2,-92.5,32.5
5x5,4,0,35,2,-2.5,37.5
5x5,4,5,35,2,-7.5,37.5
5x5,4,10,35,2,-12.5,37.5
5x5,4,15,35,2,-17.5,37.5
5x5,4,20,35,2,-22.5,37.5
5x5,4,25,35,2,-27.5,37.5
5x5,4,30,35,2,-32.5,37.5
5x5,4,35,35,2,-37.5,37.5
5x5,4,40,35,2,-42.5,37.5
5x5,4,45,35,2,-47.5,37.5
5x5,4,50,35,2,-52.5,37.5
5x5,4,55,35,2,-57.5,37.5
5x5,4,60,35,2,-62.5,37.5
5x5,4,65,35,2,-67.5,37.5
5x5,4,70,35,2,-72.5,37.5
5x5,4,75,35,2,-77.5,37.5
5x5,4,90,35,2,-92.5,37.5
5x5,4,110,35,2,-112.5,37.5
5x5,4,0,40,2,-2.5,42.5
5x5,4,5,40,2,-7.5,42.5
5x5,4,10,40,2,-12.5,42.5
5x5,4,15,40,2,-17.5,42.5
5x5,4,20,40,2,-22.5,42.5
5x5,4,25,40,2,-27.5,42.5
5x5,4,30,40,2,-32.5,42.5
5x5,4,35,40,2,-37.5,42.5
5x5,4,40,40,2,-42.5,42.5
5x5,4,45,40,2,-47.5,42.5
5x5,4,50,40,2,-52.5,42.5
5x5,4,55,40,2,-57.5,42.5
5x5,4,60,40,2,-62.5,42.5
5x5,4,65,40,2,-67.5,42.5
5x5,4,70,40,2,-72.5,42.5
5x5,4,75,40,2,-77.5,42.5
5x5,4,0,45,2,-2.5,47.5
5x5,4,5,45,2,-7.5,47.5
5x5,4,10,45,2,-12.5,47.5
5x5,4,15,45,2,-17.5,47.5
5x5,4,20,45,2,-22.5,47.5
5x5,4,25,45,2,-27.5,47.5
5x5,4,30,45,2,-32.5,47.5
5x5,4,35,45,2,-37.5,47.5
5x5,4,40,45,2,-42.5,47.5
5x5,4,45,45,2,-47.5,47.5
5x5,4,50,45,2,-52.5,47.5
5x5,4,55,45,2,-57.5,47.5
5x5,4,60,45,2,-62.5,47.5
5x5,4,65,45,2,-67.5,47.5
5x5,4,0,50,2,-2.5,52.5
5x5,4,10,50,2,-12.5,52.5
5x5,4,15,50,2,-17.5,52.5
5x5,4,20,50,2,-22.5,52.5
5x5,4,25,50,2,-27.5,52.5
5x5,4,30,50,2,-32.5,52.5
5x5,4,35,50,2,-37.5,52.5
5x5,4,40,50,2,-42.5,52.5
5x5,4,45,50,2,-47.5,52.5
5x5,4,60,50,2,-62.5,52.5
5x5,4,65,50,2,-67.5,52.5
5x5,4,5,55,2,-7.5,57.5
5x5,4,10,55,2,-12.5,57.5
5x5,4,15,55,2,-17.5,57.5
5x5,4,20,55,2,-22.5,57.5
5x5,4,25,55,2,-27.5,57.5
5x5,4,30,55,2,-32.5,57.5
5x5,4,35,55,2,-37.5,57.5
5x5,4,40,55,2,-42.5,57.5
5x5,4,45,55,2,-47.5,57.5
5x5,4,0,60,2,-2.5,62.5
5x5,4,5,60,2,-7.5,62.5
5x5,4,10,60,2,-12.5,62.5
5x5,4,15,60,2,-17.5,62.5
5x5,4,20,60,2,-22.5,62.5
5x5,4,25,60,2,-27.5,62.5
5x5,4,30,60,2,-32.5,62.5
5x5,4,55,60,2,-57.5,62.5
5x5,4,60,60,2,-62.5,62.5
5x5,4,0,65,2,-2.5,67.5
5x5,4,25,65,2,-27.5,67.5
5x10,1,0,0,3,5,2.5
5x10,1,10,5,3,15,7.5
5x10,1,30,30,3,35,32.5
5x10,1,0,35,3,5,37.5
5x10,1,20,35,3,25,37.5
5x10,1,0,40,3,5,42.5
5x10,2,0,0,3,5,-2.5
5x10,2,10,5,3,15,-7.5
5x10,2,0,35,3,5,-37.5
5x10,3,0,0,3,-5,-2.5
5x10,3,10,0,3,-15,-2.5
5x10,3,30,0,3,-35,-2.5
5x10,3,0,5,3,-5,-7.5
5x10,3,10,5,3,-15,-7.5
5x10,3,20,20,3,-25,-22.5
5x10,3,30,20,3,-35,-22.5
5x10,3,30,25,3,-35,-27.5
5x10,3,50,25,3,-55,-27.5
5x10,3,30,30,3,-35,-32.5
5x10,3,40,30,3,-45,-32.5
5x10,3,50,35,3,-55,-37.5
5x10,3,50,40,3,-55,-42.5
5x10,4,0,0,3,-5,2.5
5x10,4,10,0,3,-15,2.5
5x10,4,0,5,3,-5,7.5
